publisher,jogos_lancados,faturamento_min,faturamento_max,rentabilidade_por_jogo,avaliacoes_positivas_percentual
"Runic Games",3,10990000,21980000,3663333.3333333335,91.87383333
"Cellar Door Games",2,10990000,21980000,5495000,92.38915000
"Brace Yourself Games;Klei Entertainment",1,10990000,21980000,10990000,96.37290000
tinyBuild,29,10990000,21980000,378965.5172413793,78.59994483
"Number None",1,10990000,21980000,10990000,94.41790000
"Devolver Digital",65,10990000,21980000,169076.92307692306,84.40820923
"Team Cherry",1,10990000,21980000,10990000,95.42220000
"U-Play Online",3,9995000,19990000,3331666.6666666665,66.67506667
"Avalanche Studios",1,9995000,19990000,9995000,78.48580000
"38 Studios;Electronic Arts",1,9995000,19990000,9995000,87.64910000
"CAPCOM Co., Ltd. ",1,9995000,19990000,9995000,90.82060000
"Electronic Arts;Aspyr (Mac)",1,9990000,19980000,9990000,76.43160000
