genres,jogos_por_genero
Casual;Indie,1043558732
Action;Indie,1036347981
Action;Adventure;Indie,721382893
Adventure;Indie,673746194
Action;Casual;Indie,669354741
Adventure;Casual;Indie,510677040
Indie,485551443
Action,346629500
Casual,324362434
Action;Adventure;Casual;Indie,312870470
