genres,avaliacoes_negativas_percentual,concorrentes
"Adventure;Casual;Indie;Massively Multiplayer;RPG;Strategy;Early Access",62.50000000,1
"Sexual Content;Violent;Gore;Indie",62.50000000,1
"Action;Casual;Indie;Massively Multiplayer;Racing",62.50000000,1
"Nudity;Violent;Indie;Massively Multiplayer;Early Access",62.09680000,1
"RPG;Simulation;Strategy;Early Access",61.98775000,2
"Nudity;Adventure;Indie;Early Access",61.53850000,1
"Violent;Gore;Action;Adventure;Casual;Indie;Massively Multiplayer;RPG;Strategy;Early Access",61.48150000,1
Violent;Action;Adventure;Indie;Simulation;Strategy,61.25000000,2
"Violent;Gore;Action;Indie;RPG;Simulation;Early Access",61.22450000,1
"Animation & Modeling;Design & Illustration;Education;Software Training;Utilities;Early Access",61.19400000,1
"Gore;Action;Indie;RPG;Early Access",61.11110000,1
"Adventure;Casual;Indie;Massively Multiplayer;Simulation",61.07145000,2
"Nudity;Violent;Gore;Adventure;Indie;RPG;Early Access",60.86960000,1
"Violent;Gore;Simulation;Early Access",60.86960000,1
Violent;Action;Adventure;Indie;Strategy,60.83335000,2
"Casual;Massively Multiplayer;Simulation;Strategy",60.80646667,3
"Adventure;Massively Multiplayer;RPG;Simulation;Early Access",60.80070000,1
Gore;Action,60.74073333,3
"Sexual Content;Nudity;Action;Casual;Indie;RPG;Simulation;Strategy",60.39600000,1
Adventure;Racing,60.12343333,3
Violent;Action;Adventure;Simulation,60.00000000,1
Action;Adventure;RPG;Simulation,60.00000000,1
"Violent;Action;Adventure;Indie;RPG;Early Access",60.00000000,1
"Action;Adventure;Massively Multiplayer;Racing;Early Access",60.00000000,1
Adventure;Indie;Simulation;Sports,60.00000000,1
"Action;Adventure;Massively Multiplayer;RPG;Early Access",59.63605000,4
Action;Adventure;Casual;Indie;Racing;Sports;Strategy,59.09090000,1
"Violent;Action;Free to Play;Indie;Massively Multiplayer",58.82350000,1
"Adventure;Casual;Indie;Massively Multiplayer;Strategy;Early Access",58.82350000,1
Action;Racing;Simulation,58.57941667,6
"Audio Production",58.44000000,3
"Accounting;Animation & Modeling;Audio Production;Design & Illustration;Education;Photo Editing;Software Training;Utilities;Video Production;Web Publishing",58.33330000,1
Violent;Gore;Adventure;Indie;Simulation;Strategy,58.33330000,1
"Action;Adventure;Casual;Indie;Massively Multiplayer;Simulation",58.25396667,3
"Casual;Indie;Massively Multiplayer;Early Access",58.09523333,3
"Adventure;Indie;RPG;Simulation;Strategy;Early Access",57.86375000,4
"Action;Indie;Massively Multiplayer;RPG;Simulation",57.69170000,1
Violent;Gore;Adventure;Indie;Simulation,57.57953333,3
"Sexual Content;Adventure;Indie",57.14290000,1
"Gore;Action;Adventure;RPG;Early Access",57.14290000,1
"Sexual Content;Nudity;Violent;Gore;Adventure;Indie;RPG",57.14290000,1
"Action;Adventure;Casual;Massively Multiplayer;RPG;Simulation",57.14290000,1
Violent;Gore;Action;Adventure;Casual,57.14285000,2
"Casual;RPG;Early Access",57.14285000,2
"Action;Adventure;Casual;Free to Play;Indie;Massively Multiplayer;Racing;RPG;Simulation;Sports;Strategy",57.04258333,6
Action;Indie;RPG;Simulation,57.03055000,4
"Action;Casual;Strategy;Early Access",56.38885000,2
"Audio Production;Education;Software Training;Video Production;Web Publishing",56.38300000,1
"Adventure;Casual;Early Access",55.89810000,4
"Adventure;Simulation;Early Access",55.56936000,5
Casual;Strategy;Indie,55.55560000,1
Violent;Action;RPG,55.55560000,1
Violent;Action;Adventure;Casual;Indie;RPG;Strategy,55.55560000,1
"Animation & Modeling;Utilities;Video Production",55.55560000,1
Adventure;Sports,55.42400000,2
"Action;Adventure;Casual;Indie;Racing;RPG;Simulation;Early Access",55.33330000,1
Violent;Gore;Action;Simulation;Strategy,55.09950000,1
"Violent;Adventure;Casual;Indie;Strategy;Early Access",55.00000000,1
"Casual;Strategy;Early Access",55.00000000,2
"Action;Adventure;Free to Play;Indie;Massively Multiplayer;Strategy;Early Access",54.74580000,1
Violent;Action;Simulation,54.74573333,3
"Action;Massively Multiplayer;RPG;Strategy",54.54550000,1
"Adventure;RPG;Strategy;Early Access",54.11765000,2
"Action;Massively Multiplayer;Early Access",54.06558000,5
"Education;Software Training;Utilities;Video Production",53.84620000,1
"Sports;Strategy;Early Access",53.84620000,1
"Action;Indie;RPG;Simulation;Sports;Early Access",53.53540000,1
"Violent;Gore;Action;Adventure;Indie;Massively Multiplayer;RPG;Simulation;Early Access",53.47630000,1
"Casual;Indie;Massively Multiplayer;Simulation;Strategy",53.33330000,1
Violent;Gore;Action;Adventure;Casual;Indie,53.27635000,10
Adventure;Simulation;Sports,53.17570000,4
Action;Strategy;Indie,53.08440000,2
"Indie;Massively Multiplayer;Racing;Simulation;Sports",52.83020000,1
"Sexual Content;Nudity;Gore;Action;Adventure;Casual;Indie;RPG;Simulation",52.77780000,1
Casual;Racing;Simulation;Sports,52.77780000,2
Action;Adventure;Casual;Racing;RPG;Simulation;Sports;Strategy,52.63160000,1
"Nudity;Action;Adventure;Casual;Indie;Simulation;Early Access",52.54240000,1
Action;Adventure;Casual;Indie;Sports,52.47472500,4
"Violent;Action;Adventure;RPG;Strategy;Early Access",52.38100000,1
Violent;Action;Adventure;Casual;Indie;RPG,52.38100000,1
"Action;Adventure;Indie;Massively Multiplayer",51.78570000,2
Casual;Indie;Sports;Strategy,51.57253333,9
"Nudity;Violent;Action;Adventure;Indie;Racing;Simulation;Early Access",51.51520000,1
Casual;Indie;Racing;Sports,51.47941000,10
"Action;Adventure;Casual;Indie;Massively Multiplayer;Racing;RPG;Simulation;Sports;Strategy",51.37756667,3
Nudity;Casual;Indie;Simulation,51.35140000,1
Violent;Gore;Action;Indie;Simulation,51.25028333,6
Strategy;Indie;Casual;Simulation,50.90910000,1
"Action;Casual;Simulation;Strategy;Early Access",50.89285000,2
"Action;Massively Multiplayer",50.54866000,5
"Sexual Content;Nudity;Violent;Gore;Action;Adventure",50.52560000,1
"Sexual Content;Nudity;Violent;Action;Adventure;Indie",50.50000000,2
"Nudity;Violent;Gore;Action;Adventure;Indie;Massively Multiplayer;Racing;RPG;Simulation;Early Access",50.38760000,1
"Action;Indie;Massively Multiplayer;RPG",50.29760000,2
"Action;Adventure;Casual;Indie;RPG;Strategy;Early Access",50.19598000,5
"Action;Adventure;Massively Multiplayer;Simulation",50.18520000,3
"Racing;Sports;Early Access",50.00000000,1
"Design & Illustration;Utilities;Video Production",50.00000000,1
Casual;Indie;Racing;Strategy,50.00000000,1
"Action;Adventure;Strategy;Early Access",50.00000000,1
"Action;Adventure;Casual;RPG;Simulation;Strategy;Early Access",50.00000000,1
"Violent;Action;Indie;Strategy;Early Access",50.00000000,1
"Action;Adventure;Indie;RPG;Sports;Strategy;Early Access",50.00000000,1
"Violent;Action;Adventure;Indie;Strategy;Early Access",50.00000000,1
"Action;Casual;Indie;Massively Multiplayer;Simulation;Sports",50.00000000,1
"Nudity;Violent;Gore;Indie;Early Access",50.00000000,1
"Action;Adventure;Casual;Free to Play;Indie;RPG",50.00000000,1
"Action;Adventure;Indie;Simulation;Sports;Early Access",50.00000000,1
"Violent;Action;Casual;Early Access",50.00000000,1
"Casual;Massively Multiplayer;Simulation;Sports;Early Access",50.00000000,1
Gore;Adventure;Indie;Simulation,50.00000000,1
"Adventure;Casual;Indie;Sports;Early Access",50.00000000,1
Violent;Gore;Casual;Indie;Simulation;Sports,50.00000000,1
Adventure;Casual;Indie;Racing;RPG;Simulation;Sports;Strategy,50.00000000,1
Violent;Gore,50.00000000,1
Nudity;Gore;Action;Indie,50.00000000,1
Casual;Racing;Simulation,50.00000000,3
"Adventure;Indie;Racing;Simulation;Early Access",50.00000000,1
"Gore;Action;Adventure;Indie;Early Access",50.00000000,1
"Video Production",50.00000000,1
"Sexual Content;Violent;Action;Indie;Early Access",50.00000000,1
"Casual;Racing;Early Access",50.00000000,1
"Action;Casual;Free to Play;Indie;Racing;Simulation;Strategy",50.00000000,1
"Adventure;Casual;Indie;Massively Multiplayer",50.00000000,1
"Violent;Gore;Action;Adventure;RPG;Simulation;Strategy;Early Access",50.00000000,1
"Adventure;Indie;Massively Multiplayer;RPG;Early Access",50.00000000,1
Adventure;Casual;Indie;Simulation;Accounting,50.00000000,1
"Gore;Action;Adventure;Indie;RPG;Simulation;Early Access",50.00000000,1
"Sexual Content;Violent;Action;Adventure;Indie",50.00000000,1
"Action;RPG;Simulation;Early Access",50.00000000,1
"Action;Adventure;Casual;Indie;Racing;RPG;Simulation;Sports;Strategy;Early Access",50.00000000,1
"Casual;Free to Play;Indie",50.00000000,1
"Violent;Simulation;Early Access",50.00000000,1
"Sexual Content;Nudity",50.00000000,1
Violent;Gore;Casual,50.00000000,1
"Casual;Indie;Accounting;Design & Illustration;Software Training;Web Publishing;Documentary;Tutorial",50.00000000,1
Action;Casual;Racing;Simulation,50.00000000,1
"Action;Adventure;Indie;Massively Multiplayer;RPG;Strategy;Early Access",50.00000000,1
"Action;Adventure;Casual;Indie;Simulation;Strategy;Early Access",49.90788000,5
Action;Adventure;Racing;RPG,49.76895000,2
"Violent;Gore;Action;Adventure;Indie;Massively Multiplayer",49.40480000,2
"Sexual Content;Nudity;Adventure;Casual;Indie;Simulation",49.40342500,4
"Violent;Gore;Indie;Early Access",49.20635000,2
Violent;Action;Indie;Simulation,48.99324286,7
"Violent;Gore;Action;Adventure;Indie;RPG;Early Access",48.90570000,3
Violent;Gore;Action;Adventure,48.75200000,11
Nudity;Violent;Gore;Action;Casual;Indie,48.57140000,1
Violent;Indie,48.50161250,8
Simulation;Sports;Strategy,48.47623077,13
"Action;Massively Multiplayer;Simulation",48.43326000,5
Violent;Action;Indie;RPG;Simulation;Strategy,48.30510000,1
Violent;Action;Casual;Indie,48.24488182,11
"Action;Casual;Indie;RPG;Strategy;Early Access",48.14816667,3
"Animation & Modeling;Design & Illustration;Education;Photo Editing;Software Training;Utilities;Video Production",48.00000000,1
Action;Adventure;Casual;Indie;RPG;Simulation;Strategy,47.87370833,24
"Violent;Gore;Action;Indie;Massively Multiplayer;RPG;Simulation;Strategy",47.65840000,1
"Action;Free to Play;Massively Multiplayer;RPG;Strategy",47.57090000,1
Action;Sports,47.53099375,16
Action;Adventure;Casual;Indie;Simulation;Strategy,47.45739091,22
Violent;Action;Sports,47.36840000,1
Violent;Gore;Casual;Indie;Strategy,47.05880000,1
Casual;Indie;Simulation;Sports,46.98017407,27
"Action;Adventure;Casual;Indie;Racing;RPG;Simulation;Strategy;Early Access",46.93880000,1
Adventure;Casual;Indie;Simulation;Strategy,46.81942500,24
"Audio Production;Utilities",46.70032500,8
Violent;Gore;Action;Adventure;Strategy,46.66670000,1
"Sexual Content;Nudity;Adventure;Casual;Indie;RPG;Simulation",46.66670000,1
Action;Adventure;Casual;Indie;Racing;Strategy,46.66665000,2
Nudity;Violent;Gore;Action;Indie,46.43955000,2
"Action;Adventure;Indie;RPG;Strategy;Early Access",46.43254762,21
Action;Indie;Simulation;Sports;Strategy,46.38750000,4
"Casual;Indie;Massively Multiplayer;Simulation;Sports;Early Access",46.15380000,1
"Action;Adventure;Free to Play;Early Access",46.15380000,1
"Violent;Gore;Action;Indie;Simulation;Sports;Early Access",46.15380000,1
Nudity;Violent;Gore;Action;Indie;Simulation,46.05265000,2
"Action;Massively Multiplayer;Racing;Simulation",46.04320000,1
"Action;Indie;Massively Multiplayer;Racing",46.00000000,1
"Action;Adventure;Massively Multiplayer",45.91233333,6
Violent;Action;Adventure,45.87770000,13
Action;Adventure;Casual;Indie;Racing;RPG;Simulation;Sports;Strategy,45.64156667,3
"Action;Adventure;Early Access;Indie;Strategy",45.58820000,1
Nudity;Violent;Action;Adventure;Indie,45.58820000,2
Action;Adventure;Casual;Strategy,45.57324286,7
"Massively Multiplayer;RPG;Early Access",45.49270000,1
