genres,avaliacoes_positivas_percentual,concorrentes
RPG;Indie,88.50210000,4
Gore;Adventure;Simulation,88.46150000,1
Nudity;Violent;Action;Adventure;Casual;Indie;Simulation,88.23530000,1
Nudity;Indie;RPG,88.19445000,2
"Action;Indie;Racing;Simulation;Early Access",88.12905000,2
Gore;Casual;Indie;Simulation,88.09525000,2
"Design & Illustration;Utilities;Game Development",88.09520000,1
"Sexual Content;Nudity;Adventure;Casual",88.06786000,10
Action;Casual;Sports,88.01926364,11
"Sexual Content;Violent;Adventure;Casual;Indie;RPG;Simulation",88.00000000,1
Violent;Gore;Adventure;Indie;RPG,87.96028333,6
"Action;Indie;Racing;Simulation;Sports;Early Access",87.84332500,4
"Action;Adventure;Casual;Sports;Strategy;Early Access",87.82050000,1
"Sexual Content;Nudity;Action",87.77510000,1
"Adventure;Free to Play;Indie;RPG",87.75510000,1
Action;Adventure;Racing;Simulation;Strategy,87.74190000,1
"Casual;Indie;Massively Multiplayer;RPG;Early Access",87.50000000,2
Action;Sports;Strategy,87.50000000,1
"Action;Adventure;Casual;Indie;Racing;Simulation;Strategy;Early Access",87.50000000,1
"Action;Adventure;Casual;Indie;Racing;Simulation;Sports;Early Access",87.50000000,1
"Sexual Content;Violent;Indie",87.23215000,2
Gore;Indie;Simulation;Strategy,87.21400000,1
Violent;Gore;Action;Indie;RPG;Strategy,87.20240000,2
Indie;Racing;Simulation;Strategy,87.17950000,1
"Sexual Content;Nudity;Violent;Action;Casual;Indie",87.17950000,1
"Sexual Content;Violent;Adventure;Indie",87.02530000,1
Violent;Adventure;Casual,86.92508000,5
"Action;Casual;Indie;Racing;Early Access",86.86512500,4
"Action;Adventure;Casual;Indie;Massively Multiplayer;Racing;Simulation;Sports;Early Access",86.00000000,1
"Design & Illustration;Utilities;Web Publishing",85.86210000,1
Adventure;Indie;Sports,85.80730000,2
Strategy;Simulation,85.79516667,3
"Action;Adventure;Indie;Massively Multiplayer;RPG;Simulation;Early Access",85.73190000,3
"Casual;RPG;Strategy;Early Access",85.71430000,1
Action;Adventure;Indie;Simulation;Sports,85.71430000,3
Violent;Adventure;Indie;RPG,85.71430000,1
Action;Adventure;Casual;Sports,85.71430000,1
Simulation;Education,85.71430000,1
"Indie;Massively Multiplayer;RPG;Simulation;Early Access",85.71430000,1
"Violent;Gore;Action;Adventure;Casual;Early Access",85.71430000,1
"Sexual Content;Violent;Gore;Adventure;Indie;Simulation",85.71430000,1
"Action;Adventure;Massively Multiplayer;Simulation;Strategy;Early Access",85.71430000,1
Violent;Gore;Action;Casual;Sports,85.61640000,1
Racing;Simulation;Sports;Strategy,85.44645000,2
"Sexual Content;Simulation",85.26320000,1
"Sexual Content;Nudity;Indie;Strategy",85.18520000,1
"Sexual Content;Nudity;Indie;RPG;Simulation;Strategy",85.17940000,1
"Indie;Massively Multiplayer",85.16485000,2
Nudity;Casual,85.00000000,1
"Sexual Content;Nudity;Violent;Gore;Action;Adventure;Indie;RPG",85.00000000,2
Sports;Casual,84.72220000,1
"Indie;Racing;Sports;Strategy;Early Access",84.61540000,1
"Casual;Indie;RPG;Simulation;Early Access",84.57153333,3
Action;Indie;RPG;Sports,84.40945000,2
Nudity;Action,84.28570000,1
