steam_appid;Mesclado.1;Processador_min.1;RAM_min.1.1;GPU_min.1;
1250;;1.2 GHZ or Equivalent                     ;1 GB RAM                     ;64 MB DX9 Compliant                     ;
1300;1.2 GHz Processor, 256MB RAM, DirectX 7 level graphics card,  SO: Windows XP, Mouse, Keyboard, Internet Connection  2.4 GHz Processor, 512MB RAM, DirectX 9 level graphics card, Windows XP, Mouse, Keyboard, Internet Connection;;;;
1500; Windows XP, 600MHz CPU, 128MB RAM, DX7 based video card;;;;
1520; Windows XP, P3-600-Geforce 2, 128 Mb RAM, 60 Mb Hard Disk, Internet connection for multiplayer games;;;;
1530;Supported ;2.0 GHz CPU ;512 MB RAM ;GeForce 6200 or RADEON 9600 series ;
1600; SO: Windows XP, 550Mhz CPU, 128 MB RAM, D3D Video Card with 32MB RAM (DirectX 9.0b drivers), DX9 Sound Card, 590MB hard drive space, Internet or LAN connection for multiplayer  1GHz+ CPU, 256 MB RAM, D3D Video Card with 64MB RAM (with DirectX 9.0b compatible drivers), 1GB hard-drive space;;;;
1610;"Pentium Processor;  Windows XP; 128MB RAM; 800x600 screen resolution; 16bit colour; 300 MB hard drive space; DirectX 8.1 or higher, OS:  Compatible Sound Card.OS: OS: ";;;;
1630; Windows XP, Pentium II 233 Mhz, 32 Mb RAM, 1200 MB hard disk space, DirectX 7.1, 16-bit sound card, Video Card with 8 MB RAM              Recommended Configuration: Windows XP, Pentium II 300 Mhz, 64 MB RAM, 1400 MB hard disk space, DirectX 7.1, 16-bit sound card, Video Card with 16 MB RAM;;;;
1640; Windows XP, Pentium II 233 Mhz, 32 Mb RAM, 1200 MB hard disk space, DirectX 7.1, 16-bit sound card, Video Card with 8 MB RAM              Recommended Configuration: Windows XP, Pentium II 300 Mhz, 64 MB RAM, 1400 MB hard disk space, DirectX 7.1, 16-bit sound card, Video Card with 16 MB RAM;;;;
1670;" Windows XP, 1Ghz Athlon or Pentium III CPU, 256MB RAM; DirectX 9.0 Compatible Video Card (ex: Geforce 2/4MX or Radeon 7500), DirectX 9.0 Compatible Sound Card, 2 Gigabyte free space on Hard drive, DirectX 9.0c";;;;
1690; Pentium 500MHz or better class machine, Windows XP, 64 megabytes RAM or better, 1024x768 or better screen resolution, 16 bit color display or better, DirectX 7.0 (or better), A video card with 3D acceleration, 500 megs hard drive space, A sound card capable of supporting MP3 and DirectSound playback. Sound card must be DirectX 7.0 (or better) compatible.;;;;
1700; SO: Windows XP, 500 MHz Pentium ® III or compatible, 64 MB RAM , DirectX 8 or higher, DirectX 8 compatible sound- and graphics card with 16 MB, 750 MB fixed disks  900 MHz Pentium ® III or compatible, 256 MB RAM , DirectX 8 or higher, DirectX 8 compatible sound- and graphics card with 32MB, 750 MB fixed disks;;;;
1840;;3.0 GHz P4, Dual Core 2.0 (or higher) or AMD64X2 (or higher) ;2GB (4 GB suggested) ;NVIDIA GeForce 200 series card or better, or AMD Radeon 3000 series or better (NVIDIA GeForce 400 series or AMD Radeon 5000 series preferred) Monitor: 1366 x 768 (1920 x 1080 suggested) ;
1900; XP / Vista / 7 / 8 Intel/AMD Single Core CPU with 2.0 GHz 1 GB RAM DirectX 9.0 compatible graphics card with 128 MB RAM DirectX compatible sound card 2.0 GB free disk space Broad band Internet connection Keyboard and Mouse;;;;
1930;;Dual Core CPU 2.0 GHz  ;1 GB  ;GeForce FX 6, 7 and 8 series, AMD/ATI Radeon X-series with Shader 2.0b support ;
2100;"AMD Athlon&trade;, Pentium&reg; 2.4 GHz, 512MB RAM, 128MB video card, 7GB HDD Space,  SO: Windows XP, Mouse, Keyboard, Internet Connection   AMD Athlon&trade;, Pentium&reg; 3.0 GHz, 256mb dx9 video card, 7GB HDD Space, Windows XP, Mouse, Keyboard, Internet Connection";;;;
2200;3-D Hardware Accelerator with full OpenGL® support, Pentium® 233 Mhz MMX®processor with 8 MB Video Card or Pentium II 266 Mhz processor with 4 MB Video Card, or AMD® 350 Mhz K6®-2 processor with 4 MB Video Card, 64 MB RAM, a 100% ® XP/Vista compatible computer system (including compatible 32-bit drivers for video card, sound card and input devices), 25 MB of uncompressed hard disk space for game files (Minimum Install), plus 45 MB for the OS:  swap file, 100% DirectX 3.0 or higher compatible sound card, 100% Microsoft-compatible mouse and driver, joystick (optional)OS: OS: ;;;;
2210; Windows® XP  Processor: Intel® Pentium® 4 2.0 GHz or AMD® Athlon® XP 2000+ processor or higher Memory: 512MB RAM Hard Disk Space: 2.8GB of uncompressed free hard disk space (plus 400MB for Windows® swap file) Video: 100% DirectX® 9.0c compatible 64MB 3D hardware accelerated video card required Sound: 100% DirectX® 9.0c compatible 16-bit sound card and latest drivers DirectX® Version: 9.0c;;;;
2270; Windows XP/Vista-compatible computer system;;;;
2280; Windows XP/Vista-compatible computer system;;;;
2290; Windows XP/Vista-compatible computer system;;;;
2300; Windows XP/Vista-compatible computer system;;;;
2310; Windows XP/Vista-compatible computer system;;;;
2320; Windows XP/Vista-compatible computer system;;;;
2330; Windows XP/Vista-compatible computer system;;;;
2340; Windows XP/Vista-compatible computer system;;;;
2350;3-D Hardware Accelerator with full OpenGL® support, Pentium II(R) 300 Mhz or AMD® 350 Mhz K6®-2 processor or Athlon® processor,  Windows 2000/XP/Vista operating system, 64 MB RAM, 16 MB video card, 400 MB of uncompressed hard disk space for each game, 100 MB of free hard drive space for the OS:  swap file (in addition to install space), a 100% OS: ® Windows 2000/XP-compatible computer system (including compatible 32-bit drivers for video card, sound card and input devices), 100% DirectX 3.0 or higher compatible sound card, 100% Microsoft-compatible mouse and driverOS: ;;;;
2360; Windows XP/Vista-compatible computer system;;;;
2370; Windows XP/Vista-compatible computer system;;;;
2390; Windows 2000/XP/Vista-compatible computer system;;;;
2400;1.8 GHz Processor, 512MB RAM, DirectX 8 level graphics card (1024x768),  Windows 2000/XP/ME/98, Mouse, Keyboard, Internet Connection, DirectX 9.0c  2.8 GHz Processor, 1024MB RAM, DirectX 9 capable Graphics Card (1024x768), Windows 2000/XP/ME/98, Mouse, Keyboard, Internet Connection, DirectX 9.0c;;;;
2450;Minimum;Pentium 4 3.0GHz Dual Core;1 GB;"128 MB, Shader model 2.0, ATI 9600, NVidia 6600 or betterDirectX&reg;: DirectX 9.0c";
2500;1.3 GHZ or Equivalent, 384 MB RAM, GeForce 4 Ti 4200* or ATi Radeon 9000 or better, 1 GB free hard drive space,  Windows 2000/XP  2.0 GHz, 512 MB RAM, GeForce FX 5900 Ultra or ATi Radeon 9500 Pro or better * Please note that Shadowgrounds does not run on GeForce 4 MX cards.;;;;
2520; Windows 2000/XP SP2, 1 GHz Processor, 256 MB System RAM, 32 MB OpenGL 3D Video Card, 50 MB Available hard disk space, DirectX 8.0 or higher  1.6 GHz Processor, GeForce 5200 / Radeon 9600 or better video card;;;;
2590;Supported ;2.0 GHz Processor  ;512 MB RAM  ;DirectX compatible 128 MB graphics card  DirectX Version: DirectX® 9.0c Sound: DirectX compatible sound card ;
2600;Required: 3D hardware accelerator card required - 100% DirectX® 9.0c-compatible 64MB video card and drivers 1.2 GHz Athlon™ or 1.2 GHz Pentium® III processor or higher 384MB of RAM (512MB of RAM recommended)   98/ME/2000/XP* 3.3 GB of uncompressed hard disk space for game files and saved games (plus 1.4 GB for Windows® swap file) 100% DirectX® 9.0-compatible 16-bit sound card and drivers 100% Windows® 98/ME/2000/XP-compatible mouse, keyboard, and drivers DirectX® 9.0c* Does not support Windows XP 64 Supported Chipsets for 98/ME/200/XP: All ATI® Radeon® Chipsets All NVIDIA® GeForce(tm) Chipsets Matrox® Parhelia(tm) Chipset;;;;
2610;"Minimum 3D hardware accelerator card required - 100% DirectX(R) 9.0c-compliant 32 MB Hardware T&amp;L - capable video card and the latest drivers*, English version of Microsoft(R) (R) Windows 2000/SO: Windows XP, Pentium(R) III 1.8 GHz or Athlon(TM) XP 1800+ or higher processor, 256 MB of RAM, 2.8 GB of uncompressed hard disk space (plus 320 MB for the OS:  swap file), OS: OS:  Windows 2000/XP-compatible computer system including:  DirectX 9.0c (Included)  100% DirectX 9.0c-compliant true 16-bit sound card and drivers  100% Windows 2000/XP-compatible mouse, keyboard and drivers  100% Windows 2000/XP-compatible gamepad (optional) (Game controller with 10 or more buttons and dual analog thumb sticks required) *Supported Chipsets for Windows 2000/XP NVIDIA® GeForce™ 3/Ti series NVIDIA® GeForce™ 4/Ti series NVIDIA® GeForce™ FX 5700 and later series NVIDIA® GeForce™ 6800 and later ATI® Radeon™ 8500 ATI® Radeon™ 9000 ATI® Radeon™ 9600 ATI® Radeon™ 9800 and later*Important Note:  Some 3D accelerator cards with the chipsets listed here may not be compatible with the 3D  acceleration features utilized by GUN.  Please refer to your hardware manufacturer for 100%  DirectX 9.0c compatibility.";;;;
2620;;Pentium III 600 MHz or Athlon 600 MHz processor or higher for systems with Windows 98/ME, Pentium III 700 MHz or Athlon 700 MHz processor or higher for systems with Windows 2000 / XP ;128 MB ;"3D hardware accelerator card required - 100% DirectX 9.0b compatible 32 MB hardware T&amp;L-capable video card and latest drivers* DirectX: Version 9.0b (included) Network:  ";
2630;3D hardware accelerator card required - 100% DirectX 9.0c compatible 64MB hardware accelerator video card and the latest drivers*, Microsoft  Windows 2000/SO: Windows XP, Pentium IV 1.4GHz or AMD Athlon XP 1700+ processor or higher, 256MB RAM (512MB RAM recommended), 100% DirectX 9.0c compatible 16-bit sound card and latest drivers, 100% OS:  Windows 2000/XP compatible mouse, keyboard and latest drivers, 4.0GB of uncompressed free hard disk space (plus 600MB for OS:  Windows 2000/XP swap file) Multi-player Requirements: Internet (TCP/IP) and LAN (TCP/IP) play supported Internet play requires broadband connection and latest drivers LAN play requires network interface card and latest driversImportant Notice: *Some 3D accelerator cards with the chipset listed here may not be compatible with the 3D acceleration features utilized by Call of Duty. Please refer to your hardware manufacturer for 100% DirectX 9.0c compatibility. Supported Chipsets ATI Radeon 8500 ATI Radeon 9000 ATI Radeon 9200 ATI Radeon 9500 ATI Radeon 9600 ATI Radeon 9700 ATI Radeon 9800 ATI Radeon X300 ATI Radeon X550 ATI Radeon X600 ATI Radeon X700 ATI Radeon X800 ATI Radeon X850 nVidia GeForce 2 Ultra All nVidia GeForce 3/Ti Series All nVidia GeForce 4/Ti Series All nVidia GeForce FX Series All nVidia GeForce 6 Series Recommend nVidia GeForce 7 Series or higherOS: ;;;;
2640;"Full Version of original Call of Duty, 3D hardware accelerator card required - 100% DirectX 9.0c compatible 32MB hardware T&amp;L-capable video card and the latest drivers*, Microsoft  Windows 2000/SO: Windows XP, Pentium III 800MHz or Athlon 800MHz processor or higher, 128MB RAM (256MB Recommended), 1150MB of uncompressed free hard disk space (plus 600MB for OS:  Windows 2000/XP swap file), 100% DirectX 9.0c compatible 16-bit sound card and latest drivers, 100% OS:  Windows 2000/XP compatible mouse, keyboard and latest drivers, DirectX 9.0c (included) Multi-player Requirements: Internet (TCP/IP) and LAN (TCP/IP) play supported Internet play requires 56kbps (or faster) modem and latest drivers LAN play requires network interface card and latest driversImportant Notice: *Some 3D accelerator cards with the chipset listed here may not be compatible with the 3D acceleration features utilized by Call of Duty United Offensive. Please refer to your hardware manufacturer for 100% DirectX 9.0c compatibility. Supported Chipsets All ATI Radeon cards All nVidia GeForce cards Matrox ParheliaOS: ";;;;
2710;"Supported Windows 2000/XP Processor: Pentium 4 1.5 GHz or equivalent (3.0 GHz recommended) Memory: 256 MB RAM (512 MB recommended) Graphics: 64 MB Hardware T&amp;L-compatible video card (256 MB recommended) Sound: DirectX® version Windows 2000/XP-compatible sound card Hard Drive: 3 GB free HD space  * Broadband connection required for online multiplayer play";;;;
2720; Windows 2000/XP/Vista, DirectX9.0c or higher, Graphics Accelerator with 32-bit color support (DirectX9-Supported Accelerator recommended), 1.0GHz or faster processor, 256MB of RAM, 400MB of hard disk space;;;;
2780;Supported ;2 GHz or better Intel or AMD processor, or equivalent. Game is functional on, but currently not optimized for, Dual-core CPU's.   ;512 MB of RAM ;"nVidia Geforce FX with 128 MB RAM &amp; Pixel Shader 2.0 or better, ATI Radeon 9500 with 128 MB of RAM Pixel Shader 2.0 or better DirectX Version: DirectX 9.0c ";
2800;;Pentium III 800MHz or same grade ;256MB RAM ;32MB 3D card compatible with Direct X 8.1 DirectX®: 8.1 ;
2810;;Pentium IV 1.7GHz or same grade ;512MB RAM ;128MB 3D card compatible with Direct X 9 DirectX®: 9 ;
2820;;Pentium® IV or AMD® equivalent at 2.0 GHz ;1 GB RAM ;256 MB 3D DirectX 9 Compatible video card (not onboard) with Pixel Shader 1.1 support ;
2840;;Pentium II 200 MHz ;32 MB RAM ;4 MB DirectX-compliant video card DirectX®: DirectX 7.0 or higher ;
2850;;Pentium II 200 MHz ;32 MB RAM ;4 MB DirectX-compliant video card DirectX®: DirectX 7.0 or higher ;
2870;Requires a 64-bit processor and operating system ;Intel i-Series at 2GHz or AMD equivalent ;4 GB RAM ;Nvidia GT400 series with 512MB RAM or better, ATI 4870HD with 512MB RAM or better DirectX: Version 9.0c ;
2900; Windows 2000/XP, Pentium III, 256MB RAM, 1.5G Hard drive space, 32MB video card (Nvidia Geforce or ATI Radeon) DirectX 8.1 compatible sound card;;;;
2910; Windows 2000/XP, Pentium III, 256MB RAM, 1.5G Hard drive space, 32MB video card (Nvidia Geforce or ATI Radeon) DirectX 8.1 compatible sound card;;;;
2920; Windows 2000/XP, Pentium III, 256MB RAM, 1.5G Hard drive space, 32MB video card (Nvidia Geforce or ATI Radeon) DirectX 8.1 compatible sound card;;;;
2990; XP/Windows 2000 XP SP2 / Windows 2000 SP4, 256 MB RAM, 64 MB* video card, 2.0 GHz Pentium® 4 or AMD® Windows 2000+ processor, DirectX compatible sound card, 3.5 GB free hard drive space, DirectX 9.0c, TCP/IP required for LAN play, 512kbs minimum, Broadband connection required FlatOut 2 supports gamepads. Gamepad with 8 buttons minimum (to support all configurable game commands) is recommended. * FlatOut 2 supports the following Chipsets, nVidia Geforce FX 5/6/7 series, ATI Radeon 9600 Pro/XT and above, ATI Radeon X200 and above. On-board/ integrated graphics cards and laptops not supported.;;;;
