steam_appid;Mesclado.1;Processador_min.1;RAM_min.1.1;GPU_min.1;
285130;最低配置: 操作系统:  XP 处理器: Pentium 4 or Athlon 64 内存: 1 GB RAM 图形: GL 2.1 存储空间: 需要 400 MB 可用空间 声卡: Integrated;;;;
285190;Requires a 64-bit processor and operating system ;3GHz i3 quad logical core or equivalent ;4 GB of RAM, 1 GB of VRAM MB RAM ;NVIDIA GeForce 460 or AMD Radeon 6950 or equivalent DirectX 11-card DirectX: Version 11 Network: Broadband Internet connection ;
285310;;1.8 GHz Processor ;512 MB RAM ;3D graphics card compatible with DirectX 7 DirectX: Version 7.0 ;
285330;;1.8 GHz Processor ;512 MB RAM ;3D graphics card compatible with DirectX 7 DirectX: Version 7.0 ;
285350;;1 GHz ;512 MB RAM ;video card with 64 MB of memory ;
285380;Requires a 64-bit processor and operating system ;min 3.3 Ghz ;4 GB RAM ;min. 1024 MB DirectX: Version 11 ;
285420;;PC with 800MHz Intel® Pentium® III equivalent or higher processor ;256 MB RAM ;1024x768 or better video resolution in High Color mode ;
285440;;Pentium 4 2.80GHz or better ;512 MB RAM ;Direct3D support DirectX: Version 9.0 ;
285480;;Pentium III 500 MHz ;512 MB RAM ;DirectX compatible 128 MB DirectX: Version 9.0 ;
285500;;Pentium 4/Athlon XP 2 GHz ;512 MB RAM ;DirectX compatible 128 MB ;
285520;;Pentium 4/Athlon XP 2.5 MHz ;512 MB RAM ;DirectX compatible 128 MB ;
285670;;Dual Core ;2 GB RAM ;DirectX compliant with 2GB memory DirectX: Version 9.0c ;
285740;;2.0 GHz Dual Core Processor ;2 GB RAM ;Integrated Graphics (512MB VRAM and above) DirectX: Version 9.0c ;
285800;最低配置: 操作系统:  XP Service Pack 3 or later 处理器: 1.7 GHz Dual Core 内存: 2 GB RAM 图形: NVIDIA GeForce GTX 260, ATI Radeon 4870 HD, Intel HD 3000, or equivalent card with at least 512 MB VRAM DirectX 版本: 9.0 存储空间: 需要 500 MB 可用空间 声卡: DirectX Compatible Sound Card;;;;
285820;Mínimo: SO:  Vista, 7, 8 Procesador: Intel Core i5 Memoria: 3 GB de RAM Gráficos: Nvidia Geforce GT 430/equivalent or higher Almacenamiento: 3 GB de espacio disponible;;;;
285840;;Core 2 Duo 2.66Ghz ;2 GB RAM ;256 MB Graphics Memory and Directx 9.0c Compatible gpu ;
285900;;2nd generation Core i3, AMD A6, or higher ;4 GB RAM ;Nvidia 8800 GT, AMD 5670, Intel HD 3000 Network: Broadband Internet connection ;
285920;Requires a 64-bit processor and operating system ;Intel Core2 Duo T7600 @ 2.33GHz or AMD Athlon 64 FX-60 Dual Core ;4 GB RAM ;nVidia GeForce 520M or Intel HD 4000 DirectX: Version 11 ;
285980;;Intel i3 Core 2Ghz ;2 GB RAM ;NVIDIA or ATI 1GB shader model 2.0 DirectX: Version 9.0c ;
286000;Minimale : Système d'exploitation :  7 or later Processeur : 2 GHz Processor Mémoire vive : 2 GB de mémoire Graphiques : 1.5gb video card required to play. nVidia 320M, Radeon HD 2400, Intel HD 3000 or better DirectX : Version 11 Espace disque : 2 GB d'espace disque disponible;;;;
286040;;2.4 Ghz Dual Core CPU ;2 GB RAM ;Nvidia 8800 GTX | Radeon HD 4770 DirectX: Version 9.0c ;
286100;;;;;
286120;;1 GHz ;2048 MB RAM ;512 MB ;
286140;;2.0 GHZ ;3 GB RAM ;Shader Model 2 Compatible Graphic Card ;
286160;;;;;
286200;;Intel Core Duo or equivalent ;4 GB RAM ;onboard graphics ;
286220;;Intel Atom 1.6 GHz ;1 GB RAM ;Intel Graphics Media Accelerator 945GME DirectX: Version 9.0 ;
286240;;2.0 GHz Dual Core ;1 GB RAM ;OpenGL 2.0 Compatible Sound Card: OpenAL Compatible;
286260;;Intel Core i5 ;2 GB RAM ;Intel HD 3000 DirectX: Version 9.0c ;
286280;;AMD/Intel 2GHz, 2 cores ;2 GB RAM ;DirectX 9 Compatible DirectX: Version 9.0c ;
286300;;Intel Core i5 2400 -OR- AMD Phenom II X6 1100T ;4 GB RAM ;ATI Radeon HD4850 -OR- GeForce GTX 295 (Does not support Intel Integrated Graphics Cards) ;
286320;Минимальные: ОС:  SO: Windows XP, OS:  Vista, OS:  7 Процессор: 2.0 GHz CPU Оперативная память: 1 GB ОЗУ Видеокарта: Direct X 9.0c compatible video card DirectX: Версии 9.0 Место на диске: 1 GB Звуковая карта: Direct sound compatibleOS: ;;;;
286340;;Intel Core 2 Duo, AMD Athlon X2, or equal at 1.6GHz or better ;2 GB RAM ;Dedicated graphics card (OpenGL 2.0) ;
286360;;1.5 Ghz ;1 GB RAM ;256 MB DirectX® 9.0c compatible DirectX: Version 9.0c ;
286380;;1.5 GHz or Faster ;2 GB RAM ;;
286440;;at least 2Ghz quad core or 2.5Ghz dual core Graphics: 512 Mb dedicated video ram or better, ATi or NVidia DirectX: Version 9.0 Hard Drive: 300 MB available space;;;
286460;;1.4 GHz Pentium IV or faster ;512 MB RAM ;128 MB VRAM DirectX: Version 9.0 ;
286480;;Pentium IV 1.4 GHz or faster ;512 MB RAM ;128 MB VRAM DirectX: Version 9.0 ;
286520;;Pentium processor (or equivalent AMD® processor) 2.0 GHz or faster ;512 MB RAM ;DirectX® compatible video card ;
286540;;Pentium processor (or equivalent AMD® processor) 2.0 GHz or faster ;512 MB RAM ;DirectX® compatible video card ;
286570;;Intel Core 2 Quad @ 3.0GHz or AMD Phenom II X4 @ 3.2GHz ;4 GB RAM ;Intel 4th Gen Iris Graphics or AMD HD5770 or NVIDIA GTS450 DirectX: Version 11 Network: Broadband Internet connection ;
286660;;2 GHz ;2 GB RAM ;DirectX 9.0c Compatible Card DirectX: Version 9.0c ;
286690;;Dual Core CPU (2.2+ GHz Dual Core CPU or better) ;2 GB RAM ;DirectX 10, Shader Model 4 compliant graphics cards (GeForce 8800 GT 512 MB, GeForce GTS 250, etc) DirectX: Version 10 ;
286730;;Pentium MMX 233 MHz or higher ;32 MB RAM ;SVGA video card with 2 MB video memory DirectX: Version 7.0 ;
286750;;1.0 GHz Processor ;256 MB RAM ;100% DirectX compatible graphics DirectX: Version 9.0c ;
286770;;Pentium III or AMD Athlon 1 GHz ;256 MB RAM ;64 MB Windows XP compatible, DirectX: Version 9.0 ;
286790;;1.8 GHz Processor ;512 MB RAM ;3D graphics card compatible with DirectX 7 ;
286810;Mínimos: SO: XP/Vista/7/8 Processador: Pentium 4/Athlon XP 1.7 GHz Memória: 512 MB de RAM Placa de vídeo: DirectX compatible 64 MB DirectX: Versão 9.0c Armazenamento: 2 GB de espaço disponível;;;;
286830;;Pentium 4/Athlon XP 2 GHz ;512 MB RAM ;DirectX compatible 128 MB graphics ;
286880;;3.0 GHz Intel Pentium® 4 class or AMD AthlonTM 64 3500+ or equivalent processor ;2 GB RAM ;256 MB DirectX® 9.0c-compatible (NVIDIA® GeForce 6600 or better, ATI Radeon™ X800 or better DirectX: Version 9.0c ;
286930;;2.5 GHz Intel Pentium 4 / AMD Athlon 64 ;2 GB RAM ;512 MB NVIDIA GeForce 8800GS / ATI Radeon HD 3870 or better ;
286940;;P4 3,0 GHz or comparable ;1 GB RAM ;Geforce 6600 or comparable DirectX: Version 9.0c Network: Broadband Internet connection ;
287020;;1.0 GHz Processor ;512 MB RAM ;100% DirectX compatible graphics ;
287070;;Intel P4/AMD Athlon XP or better ;512 MB RAM ;128 MB DirectX 9 Compatible Graphics Card DirectX: Version 9.0 ;
287100;;Intel CORE i3 2.6 GHz ;2 GB RAM ;ATI Radeon 5570 1GB/Nvidia GT 450 DirectX: Version 9.0c ;
287120;;Dual Core 1.6 ghz or better ;2 GB RAM ;Graphics card supporting DirectX 9.0c and Shader Model 3.0 DirectX: Version 9.0c ;
287200;;3 GHz Intel Pentium® D, AMD Athlon™64 3000+ ;1 GB RAM ;NVIDIA GeForce 8600 GT, ATI Radeon X1800 or better (min. 256 MB Video- RAM, DirectX®9c, Shadermodel 2.0) DirectX: Version 9.0c ;
287220;;1.5 GHZ ;1 GB RAM ;Direct X9.0c Compatible ;
287260;;Intel Core 2 Duo @ 2.4Ghz or AMD Athlon X2 5400+ ;2 GB RAM ;AMD HD2600 or NVIDIA Geforce 8600 Network: Broadband Internet connection ;
287290;最低: ;;;;
287390;;Dual Core CPU (2.2+ GHz Dual Core CPU or better) ;2 GB RAM ;DirectX 10, Shader Model 4 compliant graphics cards (GeForce 8800 GT 512 MB, GeForce GTS 250, etc) DirectX: Version 10 ;
287450;;1.6 ;1 GB RAM ;Direct X 10+ Capable GPU DirectX: Version 10 ;
287580;;Intel Core 2 or equivalent ;2 GB RAM ;OpenGL 2.0 compatible with 256 MB VRAM (NVIDIA GeForce 6600 series / ATI Radeon 9500 series) ;
287600;Минимальные: ОС: XP 32-bit Процессор: Intel Core i5 Оперативная память: 4 GB ОЗУ Видеокарта: AMD Radeon HD 6970 (1 GB VRAM) DirectX: Версии 11 Место на диске: 2 GB Дополнительно: IntelHD Integrated Graphics Chips may work but are not supported;;;;
287630;Requires a 64-bit processor and operating system ;Intel Core i3-2125 (3.3 GHz)/AMD FX-4100 (3.6 GHz) ;4 GB RAM ;1 GB, GeForce GTX 750/Radeon R7 360 ;
287700;;"Intel Core i5-4460 (3.40 GHz) or better; Quad-core or better ";4 GB RAM ;NVIDIA GeForce GTX 650 (2GB) or better (DirectX 11 card Required) DirectX: Version 11 ;
287720;;800 MHz ;1 GB RAM ;512 MB DirectX: Version 9.0c ;
287740;;1GHz ;1 GB RAM ;256MB DirectX: Version 9.0 ;
287780;;2 GHz ;1 GB RAM ;DirectX 9.0c compatible graphics card ;
287840;;3.0 GHz Intel® Pentium® 4 or 1.8 GHz AMD Athlon™ 64 3000+ ;2 GB RAM ;nVidia GeForce 6800GT or AMD Radeon X1950 Pro (256MB VRAM with Shader Model 3.0 or higher) DirectX: Version 11 ;
287860;;1 GHz ;1 GB RAM Hard Drive: 50 MB available space;;
287900;;;;;
287920;Requires a 64-bit processor and operating system ;Dual Core 2.4GHz ;6 GB RAM ;;
287960;;SSE2 instruction set support (Pentium 4 / Celeron and later) ;512 MB RAM ;DirectX 9 (shader model 2.0) and later ;
287980;Mínimo: SO:  SO: Windows XP, Vista, 7, 8, 10 or later Procesador: 2 GHz or faster processor Memoria: 2 GB de RAM Gráficos: Shader Model 4.0 DirectX: Versión 9.0c Almacenamiento: 350 MB de espacio disponible;;;;
288020;;2.0 Ghz Dual Core ;2 GB RAM ;256 MB video card (XNA 4.0 compatible, Shader Model 2.0 or higher) DirectX: Version 9.0c ;
288040;;Intel Pentium III 800 MHz ;512 MB RAM ;1024x768 High Color + DirectX: Version 9.0 ;
288060;最低配置: 操作系统:  7 处理器: 2.6 GHz 内存: 4 GB RAM 图形: GeForce 700 Series 存储空间: 需要 2396 MB 可用空间;;;;
288100;;1.5Ghz or greater ;2 GB RAM ;DX9 (shader model 2.0) capabilitie DirectX: Version 9.0c ;
288120;;;;;
288140;;2 core duo E8400 @ 3.00 Ghz. 3.00 Ghz ;4 GB RAM ;DX9 compatible video card with 512MB video RAM DirectX: Version 9.0 ;
288160;Mínimo: SO: XP SP2 or higher Procesador: 2.0 GHz Dual Core Processor Memoria: 2 GB de RAM Gráficos: Video card with 512MB of VRAM DirectX: Versión 9.0 Almacenamiento: 1 GB de espacio disponible;;;;
288220;;1Ghz ;512 MB RAM ;DirectX or OpenGL compatible card DirectX: Version 9.0c;
288260;;2.0 Ghz Dual Core ;4 GB RAM ;512 MB video card (Shader Model 3.0 or higher) DirectX: Version 9.0c Network: Broadband Internet connection ;
288270;;2GHz dual-core CPU or better ;2 GB RAM ;512MB video memory or more. And A graphic card supporting DirectX 9 and WDDM driver. DirectX: Version 7.0 Sound Card: A sound card that supports full-duplexing required. Additional Notes: Windows 2000 is not supported.;
288370;最低配置: 操作系统:  7 (SP1) or OS:  8 (Please note that we only support 64 bit OSs.) 处理器: Intel Core 2 Quad 内存: 4 GB RAM 图形: DirectX 11 graphics card with 1 GB Video RAM - Nvidia Geforce GTX 460 or AMD Radeon HD 5770 DirectX 版本: 11 存储空间: 需要 5 GB 可用空间 声卡: DirectX 9.0c Compatible Sound Card with Latest DriversOS: OS: ;;;;
288470;;Intel 2GHz Core2 Duo / AMD Athlon 64 x2 2.4GHz ;3 GB RAM ;Radeon X1800/ Nvidia GeForce 7600GT DirectX: Version 9.0 ;
288500;Минимальные: ОС: 8, 7, Vista, XP Процессор: 1.6 GHz Оперативная память: 1 GB ОЗУ Видеокарта: 256 MB DirectX: Версии 9.0 Место на диске: 500 MB;;;;
288610;;1.6 GHz ;1 GB RAM ;256 MB DirectX: Version 9.0 ;
288630;;1.0 GHz ;1024 MB RAM Hard Drive: 600 MB available space;;
288650;;Dual Core 800MHz ;2 GB RAM ;512MB with Shader Model 3.0 support DirectX: Version 9.0c ;
288670;;1,6 GHZ ;1 GB RAM ;256 MB 3D;
288690;;800 MHz ;256 MB RAM ;64 MB DirectX: Version 9.0 ;
288710;;1 GHz ;512 MB RAM ;min. 64MB;
288750;;1 GHz ;256 MB RAM ;32 MB 3D video card;
288790;Styresystem:  7, Vista, XP Processor: 1.8 Ghz Hukommelse: 512 MB RAM DirectX: Version 8.1 Diskplads: 850 MB tilgængelig plads Lydkort: Integrated Audio or better;;;;
288830;;1.0 GHz ;512 MB RAM ;;
288840;;1.8 Ghz ;512 MB RAM ;;
288860;;Intel Core2Duo / AMD X2, min. 2.4 GHZ ;4 GB RAM ;Nvidia Geforce GTX 560 / AMD Radeon 7850, min. 2GB VRAM ;
288880;;Intel® Core™ 2 Duo / AMD® Athlon™ X2, min. 2.8 GHZ ;4 GB RAM ;Nvidia® / AMD® with 512 MB memory DirectX: Version 10 ;
288930;;1 GHz processor ;512 MB RAM ;Integrated Graphics (512MB VRAM and above) DirectX: Version 9.0c ;
288970;;1.8 Ghz ;1 GB RAM ;;
289050;;1.7 GHz ;512 MB RAM ;;
289070;Requires a 64-bit processor and operating system ;Intel Core i3 2.5 Ghz or AMD Phenom II 2.6 Ghz or greater ;4 GB RAM ;"1 GB &amp; AMD 5570 or nVidia 450 or Intel Integrated Graphics 530 DirectX: Version 11 ";
289090;Minimale : Système d'exploitation :  XP Processeur : 1.6ghz CPU Mémoire vive : 1024 MB de mémoire Graphiques : All DX9+ DirectX : Version 9.0 Espace disque : 512 MB d'espace disque disponible;;;;
289130;;2.5Ghz Intel Core 2 Quad Q8300 or equivalent ;4 GB RAM ;1GB nVidia Geforce GT460 or equivalent, 500 MB ATI HD4850 or equivalent DirectX: Version 9.0c ;
289180;最低配置: 操作系统: XP, Vista, 7, 8, 10 处理器: 1,5 GHz 内存: 256 MB RAM 图形: nVidia GeForce3 or ATI Radeon 7500 DirectX 版本: 9.0c 存储空间: 需要 3 GB 可用空间 声卡: DirectX compatible sound card;;;;
289200;;Pentium IV 2.4GHz ;512 MB RAM ;GeForce 6600 or higher graphic card with 128 MB RAM ;
289220;;700 MHz processor ;256 MB RAM ;Direct3D compatible with 32 MB (GF 2MX or higher) ;
289240;;Intel Pentium 4+ or AMD Athlon XP 2GHz and faster ;1 GB RAM ;nVidia or AMD video card with 128Mb VRAM or more DirectX: Version 9.0c ;
289260;;2GHz ;1024 MB RAM ;DirectX9 ;
289280;"Минимальные: ОС:  XP/7/8 Процессор: 1.5 GHz Pentium 3 / AMD Athlon Processor Оперативная память: 512 MB ОЗУ Видеокарта: 128 MB DirectX9 compatible graphics card with pixel &amp; vertex shader support (nVidia GeForce 4, ATI Radeon 8500) Место на диске: 3 GB Звуковая карта: Sound Blaster compatible sound card";;;;
289300;;2 GHz Pentium® IV or AMD Athlon (3 GHz Pentium IV or AMD recommended) ;512 MB RAM ;NVIDIA® GeForce™ 3/4/FX/6/7 series (GeForce 4 MX NOT supported). Laptop version of these chipsets may work but are not supported. ;
289320;;Pentium 300 MHz ;32 MB RAM ;4MB Additional Notes: The game may require to be launched in Compatibility Mode on certain modern systems (Windows 7/8/8.1);
289340;;Intel Pentium IV or AMD Athlon 1,5 GHz ;512 MB RAM ;nVidia GeForce 3 or ATI Radeon 8500 ;
289360;;Pentium II 400 MHz ;64 MB RAM Hard Drive: 500 MB available space;;
289380;;Intel Pentium 1.5 GHz ;512 MB RAM ;nVIDIA GF4 Ti4200 or ATI Radeon 7900 with 128 MB ;
289400;;Intel Pentium IV or AMD Athlon XP ;1 GB RAM ;;
289420;;Intel Pentium IV 3 GHz or AMD Athlon 1,4GHz+ ;1 GB RAM ;nVIDIA GeForce 6600/ATI Radeon X800, 128 MB ;
289440;最低配置: 操作系统:  XP/7/8 处理器: Intel Pentium 4+ or AMD Athlon XP 2GHz and faster 内存: 1 GB RAM 图形: nVidia or AMD video card with 128Mb VRAM or more DirectX 版本: 9.0c 存储空间: 需要 4 GB 可用空间 附注事项: Online play no longer supported, LAN play is possible;;;;
289460;;Intel Pentium III 600 MHz ;64 MB RAM ;Microsoft DirectX 8.1 - compatible 3D video accelerator ;
289480;;2.4 GHz or higher ;512 MB RAM ;ATi 9600/nVidia 5600 128 MB or higher DirectX: Version 9.0c ;
289500;;Intel Pentium® III or AMD® Athlon 1GHz ;512 MB RAM ;nVidia® GeForceTM 5700 or ATI Radeon® 9500 ;
289520;;2.6 GHz and better ;1 GB RAM ;nVidia GeForce 6600 with 128 Mb VRAM or similar AMD card DirectX: Version 9.0c ;
289580;;Pentium 4/Athlon XP 1.7 GHz ;1 GB RAM ;Video 128 MB RAM ;
289600;;Pentium 4/Athlon XP 2 MHz ;512 MB RAM ;DirectX compatible 64 MB ;
289620;;Pentium 4 2 GHz/Athlon 64 2800+, ;512 MB RAM ;DirectX compatible 128 MB ;
289650;;Intel Core i5-2500K @ 3.3 GHz or AMD FX-8350 @ 4.0 GHz ;6 GB RAM ;NVIDIA GeForce GTX 680 or AMD Radeon HD 7970 (2 GB VRAM) ;
289690;;2.0 GHz high end Dual Core CPU ;4 GB RAM ;AMD Radeon HD 6000 series or better / NVidia GeForce 500 series or better DirectX: Version 11 ;
289760;;Core 2 Duo or Higher ;2 GB RAM ;Intel HD Graphics 3000 with 384 MB of RAM ;
289800;;3 GHz ;1 GB RAM ;GeForce 6800 GT or Radeon 1800XT DirectX: Version 9.0c ;
289820;;3 GHz ;1 GB RAM ;GeForce 6800 GT / Radeon 1800XT DirectX: Version 9.0c ;
289840;;3 GHz ;1 GB RAM ;GeForce 6800 GT / Radeon 1800XT DirectX: Version 9.0c ;
289890;;2GHz ;512 MB RAM ;nVIDIA GeForce 5200 or ATI Radeon 9600 DirectX: Version 9.0c ;
289930;;Dual Core 2 GHz (AMD or Intel) ;4 GB RAM ;Nvidia Geforce 7600 Series/ATI Radeon X1600 or better (min. 256 MB VRAM) DirectX: Version 9.0 ;
289950;;Dual-Core Processor with 2.4 GHz ;4 GB RAM ;DirectX 9 compatible graphics card with 1 GB VRAM (Geforce 460 or better | ATI Radeon HD 57xx or better) DirectX: Version 9.0 Network: Broadband Internet connection ;
290000;;2.0 GHz Dual Core Processor ;1 GB RAM ;Integrated Graphics (512) DirectX: Version 10 ;
290020;;SSE2 instruction set support ;2 GB RAM ;DX9 (shader model 3.0) or DX11 with feature level 9.3 capabilities. DirectX: Version 9.0c ;
290040;;;;;
290060;;2.0Ghz ;1 GB RAM ;NVIDIA GTX 260 or AMD Equivalent DirectX: Version 9.0c ;
290080;Requires a 64-bit processor and operating system ;Intel® Core™ i5 or AMD Phenom II X4 with at least 2,5 GHz ;4 GB RAM ;GeForce 460/Radeon HD 5850/Intel HD 4600 with at least 1024 MB video RAM DirectX: Version 11 Network: Broadband Internet connection ;
290260;;;;;
290280;;1.7 Ghz ;1 GB RAM ;Intel GMA 900 DirectX: Version 9.0 ;
290300;;Intel® Core™ 2 Duo 2.4 GHz, AMD Athlon™ X2 2.8 GHz, or higher ;2 GB RAM ;Shader Model 3.0, 512MB VRam DirectX: Version 9.0b ;
290320;;Intel Pentium Dual-Core E2180@2.0 GHz or AMD Athlon64 X2 3800 + @ 2.0 GHz ;2048 MB RAM ;Intel HD3000 DirectX: Version 9.0c ;
290340;;Dual-core 2.0 GHz (SSE2) ;2 GB RAM ;DirectX 10 SM4.0 capable GPU with 1GB VRAM DirectX: Version 10 ;
290380;;2.0 GHz Dual Core Processor ;1 GB RAM ;Integrated Graphics (256MB) DirectX: Version 9.0c;
290440;;Pentium III 1.0 GHz+ ;512 MB RAM ;Direct3D support, 32MB VRAM DirectX: Version 9.0 ;
290460;;Intel® Pentium® 4 2.0 GHz equivalent or faster processor ;512 MB RAM ;Intel GMA series or better ;
290470;;Intel Core 2 Duo E6300 ;2 GB RAM ;NVIDIA GeForce 7800GT, AMD RADEON HD2900XT DirectX: Version 9.0c Network: Broadband Internet connection ;
290490;;2.4 Ghz Dual Core Processor ;2 GB RAM ;Intel HD 4000 or equivalent with 1GB memory DirectX: Version 9.0c ;
290510;Минимальные: ОС:  7 or later Процессор: 2GHz 64-Bit CPU Оперативная память: 2 GB ОЗУ Видеокарта: Dedicated graphics card with 1GB memory DirectX: Версии 9.0 Место на диске: 2 GB;;;;
290530;;Intel Core 2 Duo E8400 or higher, AMD Phenom X3 8750 or higher ;4 GB RAM ;nVidia GeForce 280 GTX or higher, ATI Radeon HD 4870 or higher, 1 GB VideoRAM DirectX: Version 9.0c;
290650;;Dual Core ;4 GB RAM ;Radeon 4000 series DirectX: Version 10 Network: Broadband Internet connection ;
290730;;Pentium 4 2.5GHz ;1 GB RAM Network: Broadband Internet connection Hard Drive: 500 MB available space;;
290770;;2.5 GHz dual core ;3 GB RAM ;GeForce 8600 or equivalent, 256 MB memory ;
290790;;3.5 GHz Intel Core i3 Dual Core or equivalent ;4 GB RAM ;1024 MB DirectX 11 capable video card (GeForce GTX 460 or AMD Radeon HD 5870) DirectX: Version 11 Network: Broadband Internet connection ;
290810;;1 GHz ;512 MB RAM ;DirectX 9-compatible video card DirectX: Version 9.0c ;
290870;;1.7+ GHz or better ;2 GB RAM ;NVidia or ATI graphics card ;
290890;Минимальные: ОС:  XP Процессор: Core2Duo Оперативная память: 1 GB ОЗУ Видеокарта: OpenGL 2.0 compatible video card with 256 MB shared or dedicated RAM (ATI or NVIDIA) DirectX: Версии 9.0c Место на диске: 150 MB;;;;
290970;;Pentium 4 or better ;512 MB RAM Hard Drive: 75 MB available space;;
290990;;1Ghz ;512 MB RAM ;DirectX or OpenGL compatible card DirectX: Version 9.0c;
291030;;1Ghz ;512 MB RAM ;DirectX or OpenGL compatible card DirectX: Version 9.0c;
291050;;1Ghz ;512 MB RAM ;DirectX or OpenGL compatible card DirectX: Version 9.0c;
291070;;Intel Core 2 2.4GHz, AMD Athlon X2 2.8GHz ;2 GB RAM ;ATI HD 3450 or Higher, Nvidia Geforce 8600GT or Higher DirectX: Version 9.0c ;
291130;;1.6 Ghz ;1 GB RAM ;256mb Video Memory, capable of Shader Model 2 DirectX: Version 9.0c;
291170;;1500 MHz ;512 MB RAM ;OpenGL 3.0 compliant with 1.0GB of video RAM DirectX: Version 9.0 ;
291190;;;;;
291250;;ntel® Core™ 2 Duo E6600 or AMD Phenom™ X3 8750 processor or better ;4 GB RAM ;Shader Model 3.0 Graphics Card with 256MB of Ram or Intel HD 4000 Integrated DirectX: Version 9.0c ;
291270;;"2.0+ GHz (dual core recommended); ";2 GB RAM ;ATI Radeon HD 2000+, nVidia GeForce FX 6 series ;
291290;;2.33GHz or faster x86-compatible processor ;512 MB RAM ;2Gb ;
291330;Минимальные: ОС:  XP and above Процессор: 1.6GHz Оперативная память: 1 GB ОЗУ Видеокарта: any card with DirectX 9 and above compatible DirectX: Версии 9.0 Место на диске: 100 MB Звуковая карта: any card with DirectX 9 compatible Дополнительно: Keyboard, Mouse;;;;
291390;Минимальные: ОС:  XP SP3, Vista, 7, 8 Процессор: Dual Core 2.2GHZ Оперативная память: 2 GB ОЗУ Видеокарта: Nvidia 8xxx/Radeon HD 2xxx series graphics cards (XNA 4.0 Hi-Def compatible card, Pixel Shader 3.0, Vertex Shader 3.0) (Integrated Video Cards not recommended) DirectX: Версии 10 Место на диске: 450 MB Дополнительно: Intel 4000HD video card has been tested and works;;;;
291410;;1.5Ghz dual-core Intel Core i5 ;4 GB RAM ;Open GL 3.1+ Compliant Network: Broadband Internet connection ;
291430;;2.5 GHz processor ;2 GB RAM ;ATI or NVIDIA Videocard with at least 512MB or higher DirectX: Version 9.0 ;
291450;;No special requirements ;2 GB RAM ;No special requirements ;
291480;;Intel/AMD Dual-Core 2.0 GHz ;2 GB RAM ;NVIDIA GeForce 8600 GT 256MB / AMD ATI Radeon X1950 256MB DirectX: Version 9.0c Network: Broadband Internet connection ;
291550;Memory: 1 GB RAM Hard Drive: 350 MB available space;;;;
291610;;Dual Core 2.0 GHz ;128 MB RAM ;128MB video RAM and at least Shader Model 2.0 DirectX: Version 9.0 ;
291630;;1.0 Ghz ;512 MB RAM ;DirectX compatible video card DirectX: Version 8.1 ;
291640;;1.8 GHz ;1 GB RAM ;DirectX compatible video card DirectX: Version 9.0 ;
291650;;Intel Core i3-2100T @ 2.50 GHz / AMD Phenom II X3 B73 ;4 GB RAM ;ATI Radeon HD 4850 or NVIDIA GeForce 9600 GT ;
291690;;2.5 Ghz Intel Core 2 Quad Q8300 or equivalent ;8 GB RAM ;Nvidia GeForce GTX 550 Ti or ATI HD6950 or equivalent DirectX: Version 11 ;
291710;;1.5 Ghz ;1 GB RAM ;128 MB DX 9.0c compliant videocard DirectX: Version 9.0c ;
291770;;1.5 Ghz ;1 GB RAM ;128 MB DX 9.0c compliant video card DirectX: Version 9.0c ;
291860;;Intel Core 2 Duo 2GHz+ or better ;4 GB RAM ;512 MB video card DirectX: Version 9.0c ;
291910;;Quad-Core® or comparable 3 GHz processor ;4 GB RAM ;512 MB 3D graphics card with Pixel Shader 3.0 DirectX: Version 10 ;
291930;;Dual core CPU 2.4 GHz (or higher) ;2 GB RAM ;Graphics card with minimum 256 MB (GeForce 7600 GT series, comparable or higher) DirectX: Version 8.0 ;
291960;;1GHz ;1 GB RAM ;DirectX 9.0c compatible graphics card with 64Mb RAM and support for v3 shaders DirectX: Version 9.0c ;
292030;;Intel CPU Core i5-2500K 3.3GHz / AMD CPU Phenom II X4 940 ;6 GB RAM ;Nvidia GPU GeForce GTX 660 / AMD GPU Radeon HD 7870 ;
292060;;2.33GHz or faster x86-compatible processor, or Intel Atom™ 1.6GHz or faster processor for netbook class devices ;512 MB RAM Network: Broadband Internet connection Hard Drive: 500 MB available space;;
292090;;Pentium 4 - 1.3 GHz or better ;1 GB RAM ;256MB graphics memory DirectX: Version 9.0c ;
292120;;2GHz Dual Core CPU ;1 GB RAM ;NVIDIA® Geforce® 8 Series/ ATI Radeon™ HD 2000 series VRAM 256MB or later DirectX: Version 9.0c ;
292140;;2GHz Dual Core CPU ;1500 MB RAM ;NVIDIA® Geforce® 8 Series/ ATI Radeon™ HD 4000 series VRAM 256MB or later DirectX: Version 9.0c ;
292160;;Pentium III 500 MHz ;128 MB RAM ;32 MB GeForce2 ;
292200;;Modern Intel Core series or AMD Athlon processor ;512 MB RAM Hard Drive: 130 MB available space;;
292230;;Intel® Pentium® 4 2.0 GHz equivalent or faster processor ;256 MB RAM ;1024x768 or better video resolution in High Color mode ;
292240;;1.0 GHz Processor ;512 MB RAM ;100% DirectX compatible graphics ;
292260;;1.0 GHz Processor ;512 MB RAM ;100% DirectX compatible graphics ;
292280;;1.0 GHz Processor ;512 MB RAM ;100% DirectX compatible graphics ;
292300;;1.0 GHz Processor ;512 MB RAM ;100% DirectX compatible graphics ;
