genres,jogos_por_genero
Action,346629500
Casual,324362434
Adventure;Casual,281889861
Adventure,264101573
Strategy,180305820
Simulation,159776340
Action;Adventure,153496850
RPG,138109490
Casual;Simulation,73590830
Simulation;Strategy,73370120
