publisher,paginas_suporte_por_publisher,jogos_lancados,faturamento_min,suporte_por_jogo
"LucasArts;Lucasfilm;Disney Interactive;Feral Interactive (Mac)",1,1,7745000,1.0000
"Kunos Simulazioni",1,1,7745000,1.0000
"Joey Drew Studios Inc.",0,1,7745000,0.0000
"Gun Media",1,1,7745000,1.0000
"Frozen District;PlayWay S.A.",0,1,7745000,0.0000
Activision,41,44,7495000,0.9318
"Topware Interactive, ACE",1,1,7495000,1.0000
"Team17 Digital Ltd",33,40,7495000,0.8250
"Larian Studios;Focus Home Interactive",1,1,7495000,1.0000
Beamdog,4,5,7495000,0.8000
"KillHouse Games",1,2,7495000,0.5000
"Heart Machine",1,1,7495000,1.0000
"The Astronauts",1,1,7495000,1.0000
"WB Games",3,4,7495000,0.7500
"Defiant Development",2,2,7495000,1.0000
"Double Damage Games",1,1,7495000,1.0000
"League of Geeks",1,1,7495000,1.0000
"Eleon Game Studios",1,1,7495000,1.0000
"Mastfire Studios Pty Ltd",1,1,7495000,1.0000
"Axolot Games",1,2,7495000,0.5000
"The Game Bakers",1,2,7495000,0.5000
"The Molasses Flood;Curve Digital",1,1,7495000,1.0000
"Panic;Campo Santo",1,1,7495000,1.0000
"LucasArts;Lucasfilm;Disney Interactive",24,24,7190000,1.0000
"LucasArts;Aspyr (Mac);Lucasfilm;Disney Interactive",3,3,7190000,1.0000
"IO Interactive A/S",1,1,7190000,1.0000
"Coffee Stain Publishing",7,8,7190000,0.8750
"Coconut Island Games",1,3,7190000,0.3333
Clickteam,7,9,6998999.999999999,0.7778
"FromSoftware, Inc;BANDAI NAMCO Entertainment",1,1,6998000,1.0000
"Failbetter Games",1,2,6995000,0.5000
"Topware Interactive",17,17,6990000,1.0000
"2D BOY ",1,1,6990000,1.0000
"800 North and Digital Ranch",1,1,6990000,1.0000
"Freebird Games",3,4,6990000,0.7500
"Running With Scissors",3,3,6990000,1.0000
Trapdoor,1,1,6990000,1.0000
"Bossa Studios",8,8,6990000,1.0000
"Monochrome, Inc",1,2,6990000,0.5000
"Greenheart Games",1,1,6990000,1.0000
"Marvelous;Autumn Games",1,1,6990000,1.0000
"Panic Art Studios",2,2,6990000,1.0000
"Versus Evil;Obsidian Entertainment",1,1,6598000,1.0000
"Holotech Studios",1,1,6495000,1.0000
"Ubisoft Entertainment",4,4,6245000,1.0000
"Gearbox Publishing",4,6,5998000,0.6667
"Grey Box;Six Foot",1,1,5998000,1.0000
"Young Horses",1,1,5995000,1.0000
"Facepalm Games",1,1,5995000,1.0000
"Rockstar Games",14,15,5990000,0.9333
"Bennett Foddy",1,1,5790000,1.0000
"Superflat Games",1,1,5695000,1.0000
"Nik Nak Studios",1,1,5695000,1.0000
"Laminar Research",1,1,5499000,1.0000
"Positech Games",10,10,5495000,1.0000
"Almost Human Games",2,2,5495000,1.0000
NeocoreGames,6,6,5495000,1.0000
"HandyGames;Black Forest Games",5,5,5495000,1.0000
Fullbright,2,2,5495000,1.0000
BetaDwarf,3,3,5495000,1.0000
"Stegersaurus Software Inc.",2,2,5495000,1.0000
Clapfoot,2,2,5495000,1.0000
"Dan Fornace",1,2,5495000,0.5000
"Clever Endeavour Games",1,1,5495000,1.0000
"Beam Team Pty Ltd",1,1,5495000,1.0000
"Steel Crate Games",1,1,5495000,1.0000
SimBin,6,6,5198000,1.0000
"Bluebutton Games",1,1,5145000,1.0000
"Good Shepherd Entertainment",20,23,4995000,0.8696
"The Indie Stone",1,1,4995000,1.0000
RuneStorm,3,3,4995000,1.0000
"kChamp Games",2,2,4990000,1.0000
"Brightrock Games",1,1,4598000,1.0000
"Lo-Fi Games",1,1,4598000,1.0000
"Gears for Breakfast",1,1,4598000,1.0000
"Grey Box",1,2,4598000,0.5000
"Wargaming Labs",5,5,4598000,1.0000
"Paradox Interactive;Bandai Namco",1,1,4598000,1.0000
"ROCKFISH Games",1,1,4598000,1.0000
BrashMonkey,1,1,4499000,1.0000
"RedCandleGames;AGM PLAYISM",1,1,4495000,1.0000
Ubisoft,89,111,4290000,0.8018
"1C Game Studios",1,1,3999000,1.0000
"Kalypso Media",1,1,3999000,1.0000
"Konami Digital Entertainment",7,13,3997999.9999999995,0.5385
"Rising Star Games",20,23,3997999.9999999995,0.8696
"Payload Studios",1,1,3997999.9999999995,1.0000
"WB Games;Feral Interactive (Mac)",1,1,3997999.9999999995,1.0000
"Whale Rock Games",1,3,3997999.9999999995,0.3333
"Thing Trunk",1,1,3997999.9999999995,1.0000
"Amanita Design",4,5,3995000,0.8000
Fatshark,7,7,3995000,1.0000
"Eugen Systems",2,2,3995000,1.0000
"11 bit studios",10,11,3995000,0.9091
"Topware Interactive;ACE",3,3,3990000,1.0000
"Terry Cavanagh",2,2,3990000,1.0000
"Tortuga Team",3,4,3990000,0.7500
"Evil Tortilla Games",1,3,3990000,0.3333
"Oddworld Inhabitants",4,4,3980000,1.0000
"Giant Army",1,1,3897999.9999999995,1.0000
"Idea Factory International, Inc.;IDEA FACTORY Co., Ltd.",1,1,3897999.9999999995,1.0000
"Idea Factory;Idea Factory International",2,2,3897999.9999999995,1.0000
"D-Pad Studio",1,1,3797999.9999999995,1.0000
"Goldhawk Interactive",1,1,3797999.9999999995,1.0000
"Sauropod Studio",1,1,3797999.9999999995,1.0000
"Cardboard Computer",1,1,3797999.9999999995,1.0000
"Red Thread Games",1,1,3797999.9999999995,1.0000
"Full Control",2,2,3797999.9999999995,1.0000
"Downpour Interactive",1,1,3797999.9999999995,1.0000
