publisher,paginas_suporte_por_publisher,jogos_lancados,faturamento_min,suporte_por_jogo
Bourbontank,0,1,0,0.0000
"10ravens s.r.o.",0,1,0,0.0000
"Man-Eater Games",0,1,0,0.0000
"Ferullo Gaming",0,1,0,0.0000
REK...,0,1,0,0.0000
"Chengen Zhao",0,1,0,0.0000
Nitrome,0,1,0,0.0000
"Wako Factory",0,1,0,0.0000
"DKWorld Entertainment",0,1,0,0.0000
"Somber Dawn Studios",0,1,0,0.0000
EGCL,0,1,0,0.0000
"Chao's Playmate",0,1,0,0.0000
"Omnichron Studios",0,1,0,0.0000
B.Bit,0,1,0,0.0000
"Zhejiang TQHY Technology",0,1,0,0.0000
"Lunacy Interactive",0,1,0,0.0000
RedLightBoxGames,0,2,0,0.0000
"Steven Taylor",0,2,0,0.0000
"Numicus LLC",0,1,0,0.0000
"YounGen Tech",0,1,0,0.0000
"Boejunda LLC",0,1,0,0.0000
"Burak Yücel",0,1,0,0.0000
"Sekrit Games",0,1,0,0.0000
"DLHB Studios",0,1,0,0.0000
x86-Games,0,1,0,0.0000
megaeggz,0,1,0,0.0000
"Total Battery",0,1,0,0.0000
"Live in the Game, LLC  Self",0,1,0,0.0000
"T_T Games",0,2,0,0.0000
"Second Order",0,1,0,0.0000
"Crabby Team",0,3,0,0.0000
"ICON Interactive",0,1,0,0.0000
"Colin EUMP",0,1,0,0.0000
"Rakarnov Studios",0,1,0,0.0000
"Plaidman Games",0,1,0,0.0000
"Virtual World Arcade",0,3,0,0.0000
"Moving Dimensions",0,1,0,0.0000
"Tailwind Games",0,1,0,0.0000
"Floating Point Interactive",0,1,0,0.0000
Tradosoft,0,1,0,0.0000
"X3 Brothers",0,1,0,0.0000
"Asterion Games",0,2,0,0.0000
SuperSixStudios,0,1,0,0.0000
INDIEPLAY,0,2,0,0.0000
"TeePee Studios",0,2,0,0.0000
"vaniloput games",0,1,0,0.0000
"Game Soup LLC",0,2,0,0.0000
"Ludovic Lafferayrie",0,1,0,0.0000
"Canuck Play Inc.",0,1,0,0.0000
"Matthew Putnam",0,1,0,0.0000
"Linkflag Studio",0,1,0,0.0000
SlimeSmile,0,1,0,0.0000
TiGAMES,0,1,0,0.0000
"Vagabond Dog",0,1,0,0.0000
"Pointlight Games",0,1,0,0.0000
"Polyart Inc.",0,1,0,0.0000
Teveru,0,1,0,0.0000
"Preapp Partners",0,1,0,0.0000
ZaxtorGameS,0,4,0,0.0000
"Renaissance Game Studio",0,1,0,0.0000
"Burgseiten Studios",0,1,0,0.0000
"PilotLumpa Gaming",0,1,0,0.0000
"Will Carlough",0,1,0,0.0000
Loneminded,0,1,0,0.0000
"Codevictus Inc",0,1,0,0.0000
startgrid,0,1,0,0.0000
"Pixel Fyzz",0,2,0,0.0000
Avatarico,0,1,0,0.0000
"Inkline Ltd.",0,1,0,0.0000
"Frog the Door Games",0,1,0,0.0000
"Pixl Pile",0,1,0,0.0000
PiFTy,0,1,0,0.0000
"Parry Point e. K.",0,1,0,0.0000
"Make Real",0,1,0,0.0000
"LIN KE HSI",0,1,0,0.0000
Eyougame,0,1,0,0.0000
"Sunfleck Software",0,1,0,0.0000
Madorium,0,1,0,0.0000
"Mercury Aerospace Industries",0,1,0,0.0000
"Project Polish Productions",0,1,0,0.0000
"Moonray Studios",0,1,0,0.0000
"Geoff Nagy",0,2,0,0.0000
"Masondogg Studios, LLC.",0,1,0,0.0000
BrashMonkey.com,0,1,0,0.0000
"CHTOOM Entertainment",0,1,0,0.0000
"Ghere Games",0,1,0,0.0000
RoboDev,0,1,0,0.0000
"FrozenPepper S.R.L.",0,1,0,0.0000
"Table Flip Games",0,1,0,0.0000
"Fedora Collective",0,1,0,0.0000
QEGAME,0,1,0,0.0000
videjagamesyo,0,1,0,0.0000
TCR,0,1,0,0.0000
"Strategic Designs Ltd.",3,4,0,0.7500
Daisessen,0,1,0,0.0000
"Joseph Calabro",0,1,0,0.0000
"PixelBot Games",0,1,0,0.0000
"Itsjusta Games",0,1,0,0.0000
"Please Be Patient",0,1,0,0.0000
Sorcererstudios,0,1,0,0.0000
"Aplome Labs",0,1,0,0.0000
"Alexandre SK",0,1,0,0.0000
"Aghayeva and Ko s.r.o.",0,1,0,0.0000
"Sinclair Strange",1,2,0,0.5000
Rainware,0,2,0,0.0000
"IOSoccer Team",0,1,0,0.0000
"Michael Hobbs",0,1,0,0.0000
Fantasy-Gaming,0,1,0,0.0000
"Anunnaki s.r.l.",0,1,0,0.0000
"Greyish Games",0,1,0,0.0000
"Pixel by Pixel Studios Inc.",0,1,0,0.0000
"The Sociopath Software",0,1,0,0.0000
ZHANGKAI,0,1,0,0.0000
"Legends of Eternalia",0,1,0,0.0000
"Rahmat Nata Djaja",0,1,0,0.0000
"Zero Brain, LLC",0,3,0,0.0000
"SQUIX Games",0,1,0,0.0000
phoenixmirror,0,1,0,0.0000
"MadameBerry Games LLC",0,1,0,0.0000
Serf100,0,1,0,0.0000
"??????? ???????",0,1,0,0.0000
"SPG STUDIO",0,1,0,0.0000
"Overidon Omnimedia",0,1,0,0.0000
"Exodus Software",0,1,0,0.0000
"Team Pea",0,1,0,0.0000
"Ultima Games",0,1,0,0.0000
"CrazyBits Studios",0,1,0,0.0000
"MONKEY WRENCH STUDIO INC.",0,1,0,0.0000
xiaofeixiong,0,1,0,0.0000
GamerCrewTV,0,1,0,0.0000
"Zero One",0,1,0,0.0000
"Crystalmesh Studios",0,1,0,0.0000
"Ken Koji",0,1,0,0.0000
"MoreFromIT Sp. z o.o.",0,2,0,0.0000
"MFAFB Games LLC",0,1,0,0.0000
SYLPH,0,2,0,0.0000
"iDEACLOUD inc.",0,1,0,0.0000
Trapped,0,1,0,0.0000
"Binary Souls",0,1,0,0.0000
Lemonauts,0,1,0,0.0000
"Broke Astronaut",0,1,0,0.0000
"DHTstudios LLC",0,1,0,0.0000
"Layton Hawkes",0,1,0,0.0000
ExclexGame,0,1,0,0.0000
"Rusty Oak",0,1,0,0.0000
xrrawva,1,2,0,0.5000
"Epsilon Games",0,1,0,0.0000
"Antispace Studios",0,1,0,0.0000
"Drew Wallace",0,1,0,0.0000
CJWorks,0,1,0,0.0000
"Verdict Studios LLC",0,1,0,0.0000
"Rainbow Duck",0,1,0,0.0000
Zelun,0,1,0,0.0000
LIUTING,0,1,0,0.0000
CodeWorks,0,1,0,0.0000
"Pandamonium Games Design",0,1,0,0.0000
NEOWIZ,0,3,0,0.0000
"Software Geezers",0,1,0,0.0000
"BVG Software Group",0,1,0,0.0000
"Atlas "Incawporated"""""""",0,1,0,0.0000
"Rhino Dev",0,1,0,0.0000
"Wisdom Emprie	",0,1,0,0.0000
doorfortyfour,0,1,0,0.0000
skrimm8,0,1,0,0.0000
"Keith Burgun Games",0,1,0,0.0000
"Talpel Games",0,1,0,0.0000
"A Mazeing Tower Defense",0,1,0,0.0000
"Reversed Interactive",0,1,0,0.0000
"Fabio Biancarelli",0,1,0,0.0000
"David Zeiser",0,1,0,0.0000
spdr870,0,1,0,0.0000
"VR Dreams Technology Co.,Ltd",0,1,0,0.0000
"abstract garden",0,1,0,0.0000
"Robert J. Deutsch",0,1,0,0.0000
Lobaki,0,1,0,0.0000
"Spacevb Studio",0,1,0,0.0000
"Sinister Cyclops Game Studio",0,1,0,0.0000
"Adage Games",0,1,0,0.0000
"Coconut Shavers",0,2,0,0.0000
"Hikati Games LLC",0,1,0,0.0000
"Boxhead Games",0,1,0,0.0000
"Bill Lazos",0,1,0,0.0000
"League of Sweat Ent.",0,1,0,0.0000
"Mythos Method",0,1,0,0.0000
"ZoR Dev",0,1,0,0.0000
"Tantrum North America",0,1,0,0.0000
"Tea & Cake Games",0,1,0,0.0000
"Tyler Pomplon",0,1,0,0.0000
"Atari Inc",0,1,0,0.0000
Yo252yo,0,1,0,0.0000
Icyjolt,0,1,0,0.0000
"Cubic Timeline Productions Inc.",0,1,0,0.0000
"AL Games",0,2,0,0.0000
chlsea,0,1,0,0.0000
"Moped Games",0,1,0,0.0000
"Vasily Wosck",0,1,0,0.0000
"Hakki Ozturk",0,1,0,0.0000
Otter-Co,0,1,0,0.0000
"Danny E.K. van der Kolk",0,1,0,0.0000
"Koloss Kolektiv",0,1,0,0.0000
"Bazitov Mikhail",0,1,0,0.0000
"BT Studios",1,2,0,0.5000
"Reptoid Games",0,1,0,0.0000
Gunschlinger,0,1,0,0.0000
"David J Ozsvath",0,1,0,0.0000
Hayali,0,1,0,0.0000
"Aleksandr Soldatov",0,1,0,0.0000
ScTiger,0,1,0,0.0000
JoyfulStudio,0,1,0,0.0000
"Nowhere Town",0,1,0,0.0000
"Xiqi Game",0,1,0,0.0000
"Hot Knife Digital Media",0,1,0,0.0000
"Alien Mind",0,1,0,0.0000
"JAST USA;Kagura Games (Chinese Localization)",0,1,0,0.0000
"Noctecraft Entertainment",0,1,0,0.0000
"Adreamation Games Studio",0,1,0,0.0000
IronEqual,0,3,0,0.0000
emergeWorlds,0,1,0,0.0000
"AJetBear Entertainment",0,1,0,0.0000
"Dropout Games",0,1,0,0.0000
Jam,0,2,0,0.0000
"Tvee Games",0,1,0,0.0000
"Smokin' Skull",0,1,0,0.0000
"Nimbus Interactive",0,1,0,0.0000
"Psychic VR Lab Co., Ltd.",0,1,0,0.0000
"Glass Isle Entertainment",0,1,0,0.0000
"YIMING ZHANG",0,1,0,0.0000
"Vitalii Holiev",0,2,0,0.0000
"Open World Interactive",0,1,0,0.0000
"Life Art Studios",0,1,0,0.0000
"Skybound Games",0,1,0,0.0000
"Heavy Spectrum Limited",0,1,0,0.0000
"Gilles Schaeck",0,1,0,0.0000
Veibyn,0,2,0,0.0000
"Veritex Studios LLC",0,1,0,0.0000
"Hook Echo Software",0,1,0,0.0000
Intermediaware,0,3,0,0.0000
"Arjuna Games",0,1,0,0.0000
"Bubel Studio",0,1,0,0.0000
Headroom.one,0,2,0,0.0000
"Helios Production",0,1,0,0.0000
"BURP! Games",0,2,0,0.0000
Barnaque,0,1,0,0.0000
"Yayapipi Studio",0,1,0,0.0000
iwangr,0,2,0,0.0000
wHDinc.,0,3,0,0.0000
"Graybeard Games",0,1,0,0.0000
"Impawsible Games",0,1,0,0.0000
"Odd Chamber",0,1,0,0.0000
"Grambo Games L.L.P",0,2,0,0.0000
"Jeremy Gable",0,1,0,0.0000
TotalDistraction,0,1,0,0.0000
Shiv,0,2,0,0.0000
"Gate Zero",0,1,0,0.0000
"Dataweb, Inc.",0,1,0,0.0000
"Aperico Software",0,1,0,0.0000
B2Expand,0,1,0,0.0000
"Bit Nurse",0,1,0,0.0000
"Thalasse Games",0,1,0,0.0000
Osmium,0,1,0,0.0000
"IP Izmailov Vladimir Yurievich",0,1,0,0.0000
"David Su",0,1,0,0.0000
COCOSOLA,0,1,0,0.0000
"Helmi Bastami",0,1,0,0.0000
"Intersect Games",0,1,0,0.0000
"Waldemar Umaniz",0,1,0,0.0000
"Great God",0,1,0,0.0000
"Sure Games",0,1,0,0.0000
"Masahiro Suzuki",0,1,0,0.0000
e.com,0,1,0,0.0000
"Red Fire Games",0,1,0,0.0000
"Hedgehog Game Studios",0,1,0,0.0000
"Just Fishing LLC",0,1,0,0.0000
"Bloom Digital Media",0,1,0,0.0000
"Maurice Fernitz",0,1,0,0.0000
"TREON Games",0,1,0,0.0000
"Ceylon Entertainment",0,1,0,0.0000
"Johnny Ginard",0,1,0,0.0000
"Hifire Game Studio",0,1,0,0.0000
"Harley GW Dolton",0,1,0,0.0000
"Extra Dimension",0,1,0,0.0000
NanoidGames,0,1,0,0.0000
"Foxwarrior Productions",0,1,0,0.0000
"Chengdu Touch Times Technology Co., Ltd",0,1,0,0.0000
"Tobop Productions",0,1,0,0.0000
"Dreamlike Arts Games",0,1,0,0.0000
"3dinvis games",0,1,0,0.0000
"Kasey Ozymy",0,1,0,0.0000
"Silver Side Studios",0,1,0,0.0000
Renaissance,0,1,0,0.0000
"BoomCat Studios",0,1,0,0.0000
"Audacious Games",0,1,0,0.0000
"Mahjong Game",0,3,0,0.0000
"Okinawa Sunrise",0,1,0,0.0000
"LegionVR, LLC;Fun Train",0,1,0,0.0000
"Tornado Games",0,2,0,0.0000
DysTop,0,1,0,0.0000
"Epic Banana Games LLC",0,1,0,0.0000
"Igor Rashkuev",0,1,0,0.0000
"Connor O.R.T. Linning",0,2,0,0.0000
"Monocool Interactive",0,1,0,0.0000
"Artax Games",0,1,0,0.0000
"10ft Games",0,1,0,0.0000
"Pierced Games",0,1,0,0.0000
"VB Studio",0,2,0,0.0000
"Look At My Game;Plug In Digital",0,1,0,0.0000
MSRX22,0,1,0,0.0000
uVR,0,1,0,0.0000
"Niket Patel",0,1,0,0.0000
"Tech Warrior-Dylan Dugan",0,1,0,0.0000
"Chronik Spartan",0,1,0,0.0000
"Fade Away",0,1,0,0.0000
"Shadow Blade Productions",0,1,0,0.0000
"Auburn Sounds",0,1,0,0.0000
"PianoB Studio",0,1,0,0.0000
"Devin Eastmond",0,1,0,0.0000
"Big Blue Bubble",0,1,0,0.0000
"AlexHoratio;Alex Carpenter",0,1,0,0.0000
"Endrit Special Poductions",0,1,0,0.0000
"hf Production",0,1,0,0.0000
MyGamePublisher,0,1,0,0.0000
"Slayers' Stronghold Studios",0,1,0,0.0000
PyrofrogStudos,0,1,0,0.0000
"3lb Games",0,1,0,0.0000
"Anxious Neck Games",0,1,0,0.0000
"Marcos Rocha",0,1,0,0.0000
"Awesome Stuff Software",0,1,0,0.0000
"Stairfall Institute",0,1,0,0.0000
Dev9k,0,1,0,0.0000
"Leonardo Alexandrino",0,1,0,0.0000
"Vector Hat",0,1,0,0.0000
"Danilo Valeite",0,1,0,0.0000
DigitalWolfByte,0,1,0,0.0000
"Star Game Studios",0,1,0,0.0000
csgood,0,2,0,0.0000
"Pixel Reign;Kiss Publishing Ltd",0,1,0,0.0000
"Aweswan studios",0,1,0,0.0000
"Emily Peregrine",0,1,0,0.0000
"Alzan Studios, LLC",1,2,0,0.5000
"Derpy Dinos",0,1,0,0.0000
"Cyberlamb Studios",0,1,0,0.0000
"Take Five Games;Dikobraz Games",0,1,0,0.0000
"Tom-Erik Nielsen",0,1,0,0.0000
Polybit,0,1,0,0.0000
"Gopherwood Studios LLC",0,1,0,0.0000
"Avi Rosenblum",0,1,0,0.0000
"RISING GAME",0,1,0,0.0000
"SOOTH Inc.",0,1,0,0.0000
Monane,0,1,0,0.0000
"Sastrei Studios, LLC",0,1,0,0.0000
Speedy,0,1,0,0.0000
"ChillX Ltd",0,1,0,0.0000
"Really Interactive",0,1,0,0.0000
"Bumpy Trail Games",0,1,0,0.0000
Pixoala,0,1,0,0.0000
"Corey Martin",0,2,0,0.0000
MadskillzVR,0,1,0,0.0000
"No. 28 Games",0,1,0,0.0000
Candymakers,0,1,0,0.0000
"Arbatskii Anatolii",0,2,0,0.0000
"Brandon Rabico",0,1,0,0.0000
"Hammerfall Publishing",1,2,0,0.5000
"Alfa Dynasty",0,1,0,0.0000
"Gavisus Games;Gavisus",0,1,0,0.0000
"Antarctic Games",0,1,0,0.0000
"Early Melon",0,1,0,0.0000
"Why Not Games",0,1,0,0.0000
"T.F.S. Entertainment, LLC",0,1,0,0.0000
"Cognitive Studios",0,1,0,0.0000
"a bonfire of souls",0,1,0,0.0000
Echo607,0,1,0,0.0000
"Area64 Productions",0,1,0,0.0000
"Federico Schliemann",0,1,0,0.0000
"Miniwit Studios",0,1,0,0.0000
"Causa Creations",0,1,0,0.0000
"Ironsun Studios",0,1,0,0.0000
"Disney Platform Distribution, Inc.",0,1,0,0.0000
"Back Of Nowhere Studios",0,1,0,0.0000
"Christian Hamm",0,1,0,0.0000
"Steam Blade Games",0,1,0,0.0000
Whiteerminestudios,0,1,0,0.0000
TushaWorks,0,1,0,0.0000
"VNG CORP",0,1,0,0.0000
Captain,0,1,0,0.0000
FINCH,0,1,0,0.0000
"La Cosa",0,1,0,0.0000
"Indispensable Studios",0,1,0,0.0000
"Florent Vieillescazes",0,1,0,0.0000
"OnFire Games",0,1,0,0.0000
RedNukem,0,1,0,0.0000
"Unit 02 Games",0,1,0,0.0000
keyreal,1,2,0,0.5000
"Rooster Republic LLC",0,1,0,0.0000
"Nonostante Games",0,1,0,0.0000
"Bit Bionic LLC",0,1,0,0.0000
"Sirrico-Net Games",0,1,0,0.0000
"Paper Pirates",0,3,0,0.0000
"Turbo Chimp",0,1,0,0.0000
Halissoni,1,3,0,0.3333
FomoonSoft,0,1,0,0.0000
"Gazzapper Games",0,1,0,0.0000
Hotovo,0,1,0,0.0000
"Rikke games",0,1,0,0.0000
"Umbriel Studio",0,1,0,0.0000
"The Escape Team",0,1,0,0.0000
"OPENCAP STUDIO",0,1,0,0.0000
"Mr Alpaca Games",0,1,0,0.0000
WisJoy,0,1,0,0.0000
aftermonk,0,1,0,0.0000
"Acme Nerd Games, LLC",0,1,0,0.0000
"TSMOUNT, Inc.",0,1,0,0.0000
GRADE6,0,1,0,0.0000
"Stephen Wu",0,1,0,0.0000
"Pixel Six Games",0,1,0,0.0000
Ezalbot,0,1,0,0.0000
"Mr. Thee",0,1,0,0.0000
Northplay,0,1,0,0.0000
RDavis,0,1,0,0.0000
"Denis Mikheikin",0,1,0,0.0000
"TouchDown Creations",0,1,0,0.0000
"Michael McCartney",0,2,0,0.0000
KoromoSoft,0,1,0,0.0000
"DNB Media",0,2,0,0.0000
"Payoff Technologies",0,1,0,0.0000
Lionsart,0,1,0,0.0000
Reliant,0,1,0,0.0000
"Pulsarnik Productions",0,1,0,0.0000
"Free Time Farmers",0,1,0,0.0000
"Up All Night Games",0,1,0,0.0000
"Roccat Games Studio",0,1,0,0.0000
"RedHorse Studio",0,1,0,0.0000
Kezarus,0,1,0,0.0000
"Unknown Indie Devs",0,2,0,0.0000
Cortopia,0,1,0,0.0000
"Zhongshan Xinglong Animation Technology Co. Ltd.",0,1,0,0.0000
"Killer Bee Software",0,1,0,0.0000
"Tigrido Inc",0,1,0,0.0000
Fascimania,1,2,0,0.5000
WATERPHOENIX.Inc,0,1,0,0.0000
"Dogwood Gaming",0,1,0,0.0000
UWILMOD,0,1,0,0.0000
"EXPVR Inc.",0,1,0,0.0000
"Modern Aeon;JALE CORP",0,1,0,0.0000
"Arnold Rauers",0,1,0,0.0000
"SHOKIZM INTERACTIVE",0,1,0,0.0000
"Lled Games",0,1,0,0.0000
"Sky Coder",0,2,0,0.0000
LockedOn,0,1,0,0.0000
Metanaut,0,1,0,0.0000
"ELECTROSTALIN ENTERTAINMENT",0,3,0,0.0000
"Ömer Faruk ?im?ek",0,1,0,0.0000
"Samantha Arehart",0,1,0,0.0000
"M.J.H.X. Studio",0,1,0,0.0000
PBFP,0,1,0,0.0000
"Netgame Inc",0,2,0,0.0000
"Lemon Jam Studio",0,1,0,0.0000
"Game Alchemists",0,3,0,0.0000
"Backburner Games",0,1,0,0.0000
"team BitClub",0,1,0,0.0000
"Zen Chess Club",0,1,0,0.0000
"Turquesa Studios",0,1,0,0.0000
"Sinn Studio Inc.",0,3,0,0.0000
"Andreas Ammer",0,1,0,0.0000
"Liquid Sapling",0,1,0,0.0000
"Aleksandar Kuzmanovic Games",0,1,0,0.0000
"Joshua Roland",0,1,0,0.0000
onyonvoid,0,1,0,0.0000
" Fazan",0,1,0,0.0000
"Pinta Studios",0,1,0,0.0000
"Kaan Bukusoglu",0,1,0,0.0000
NetDinamica,0,2,0,0.0000
"Gameface Games Ltd",0,1,0,0.0000
"Xamdes Games",0,1,0,0.0000
"Beijing Gravitational Waves VR technology co.,LTD",0,1,0,0.0000
"Alternative Software",0,1,0,0.0000
"Barty Games",0,2,0,0.0000
"Kevin Paek",0,1,0,0.0000
Beemoov,0,1,0,0.0000
Play365,0,1,0,0.0000
"One Room Games",0,1,0,0.0000
"Orange Bridge Studios",0,1,0,0.0000
Erebus,0,1,0,0.0000
"Iron Helmet",0,1,0,0.0000
"CKS Tactical",0,1,0,0.0000
"Martin Mitov",0,1,0,0.0000
"Operation Constellation",0,1,0,0.0000
"Flow VR",0,1,0,0.0000
KillerPokeGames,0,1,0,0.0000
"Corpix Games",0,2,0,0.0000
Scatter,0,1,0,0.0000
"VIZ Media",0,1,0,0.0000
"Kawaiisun Games",0,2,0,0.0000
"Spotted Zebra Software LLC",0,2,0,0.0000
"Mattrified Games",0,1,0,0.0000
"TCH Scarlet Limited",0,1,0,0.0000
Simbryo,0,1,0,0.0000
"STUDIO TOKOYO;vitte",0,1,0,0.0000
"Raymond Leung",0,1,0,0.0000
"Captain Games",0,2,0,0.0000
"ShadowWolf Games",0,1,0,0.0000
"Old Town Entertainment",0,1,0,0.0000
"ActEvolve Inc.",0,1,0,0.0000
"Wicked Cake Games",0,1,0,0.0000
"Nodical Games",0,1,0,0.0000
"Snare Games",0,1,0,0.0000
"Night Apparatus",0,1,0,0.0000
"Peace & Love Games",0,1,0,0.0000
"Enthusiast Games",0,1,0,0.0000
"Shy Robot Games",0,1,0,0.0000
"Alpha Graphic Designs",0,1,0,0.0000
Ynor,0,1,0,0.0000
PPofGG,0,1,0,0.0000
"Live the VR",0,1,0,0.0000
Dwarfaparte,0,1,0,0.0000
"HOBIBOX Co., Ltd.",0,2,0,0.0000
"Sandbox Interactive GmbH",0,1,0,0.0000
"Team Jolly Roger;Advanced Interactive Gaming",0,1,0,0.0000
"Gigafun Ltd.",0,1,0,0.0000
"Door Z Studio",0,1,0,0.0000
RadicalHyena,0,1,0,0.0000
Yui-HG,0,1,0,0.0000
"IIIDA Interactive",0,1,0,0.0000
"Mad Unicorn Games",0,1,0,0.0000
BoomBox,0,2,0,0.0000
"Wallflower Games",0,1,0,0.0000
"What Day is it?' Games",0,1,0,0.0000
"play.HEART games",0,1,0,0.0000
Delirio,0,1,0,0.0000
Idyl,0,1,0,0.0000
"Remley Worldwide Productions LLC",0,1,0,0.0000
Carlos,0,1,0,0.0000
MOVISTAR+,0,1,0,0.0000
sakastudio,0,2,0,0.0000
"Prime Games",0,3,0,0.0000
ETGgames,0,1,0,0.0000
"Akakiy Petrushkin",0,1,0,0.0000
"Unico Game Studio",0,1,0,0.0000
IronZog,0,1,0,0.0000
"Cankut Keskin",0,1,0,0.0000
"Bigmoon Entertainment;Deep Silver",0,1,0,0.0000
"Daniel Jonas",0,1,0,0.0000
DigiMight,0,4,0,0.0000
TheDreik,0,3,0,0.0000
e-visualsoft,0,1,0,0.0000
"Primeval Software",0,1,0,0.0000
"Kasulo Game Studio",0,1,0,0.0000
"Dmitry Petyakin",0,1,0,0.0000
" Boogygames Studios",0,1,0,0.0000
"James Habgood",0,1,0,0.0000
"Sean Reilly",0,1,0,0.0000
Minus2,0,1,0,0.0000
"Tim Sheehan",0,1,0,0.0000
"4M Software",0,1,0,0.0000
"Dead Crow",0,2,0,0.0000
"Broan Games",0,1,0,0.0000
Red13Indie,0,2,0,0.0000
WeVery,0,3,0,0.0000
"Futureantics Pty Ltd",0,1,0,0.0000
"Dogless Head Games",0,2,0,0.0000
"Fugazo, Inc.",0,1,0,0.0000
"Desperado Games",0,1,0,0.0000
"Among Giants",0,1,0,0.0000
"Tobuscus Game Studios",0,1,0,0.0000
Khokhlov,0,1,0,0.0000
Hashieve,0,1,0,0.0000
"Horrendous Games",0,2,0,0.0000
"Roman Glebenkov",0,1,0,0.0000
"Arcturus Studios Inc",0,1,0,0.0000
"Sol Bot Studios",1,2,0,0.5000
"Diax Game",0,1,0,0.0000
"Andy Sztark",0,1,0,0.0000
"Run Games",0,1,0,0.0000
"Devonian Interactive",0,1,0,0.0000
"Fairy Forest",0,1,0,0.0000
RainSoft,0,1,0,0.0000
GabryGa,0,1,0,0.0000
"MUTT Studio",0,1,0,0.0000
"Kaan Soral",0,1,0,0.0000
"desaccord art",0,1,0,0.0000
"Qian Light  Network Technology",0,1,0,0.0000
"Straitlace Studios",0,1,0,0.0000
aimino,0,1,0,0.0000
"Alex Carpenter",0,1,0,0.0000
"CSIS (CSI Studio Co.,Ltd.)",0,1,0,0.0000
lvkeai,0,1,0,0.0000
Whippering,1,2,0,0.5000
"Jakob Hild",0,1,0,0.0000
"4H StudioLab;GrabTheGames",0,1,0,0.0000
"DK VIP Lounge",0,1,0,0.0000
Ursine,0,1,0,0.0000
"Paddle Team",0,1,0,0.0000
"Food dream factory",0,1,0,0.0000
"The Idea Software",0,1,0,0.0000
"Chilla's Art",0,3,0,0.0000
"Penumbra Games",0,1,0,0.0000
"BUD Games",0,1,0,0.0000
"Luke O'Connor",1,2,0,0.5000
"Yak Studios LLC",0,2,0,0.0000
"Upside Down Bird",0,1,0,0.0000
"Studio by the Bay",0,1,0,0.0000
Casioqum,0,1,0,0.0000
"Black Book Development",0,1,0,0.0000
"Ignite studio",0,1,0,0.0000
"PIXELAKES LLC",0,1,0,0.0000
TyBorgGames,0,1,0,0.0000
Klassefilm,0,1,0,0.0000
"Afrosquared LLC",0,1,0,0.0000
"Genetic Studio",0,1,0,0.0000
Irbynx,0,1,0,0.0000
"The Burning Red Design",0,2,0,0.0000
"Corbak Games",0,1,0,0.0000
MPixels,0,1,0,0.0000
"Ginko Games",0,1,0,0.0000
OctoberRaven,0,1,0,0.0000
"BiNAREE, Inc.",0,1,0,0.0000
IVGEMENT,0,1,0,0.0000
"B4T Games",0,1,0,0.0000
"Stefan Kelnberger",0,1,0,0.0000
"MOGA Creative",0,1,0,0.0000
"XingRan Network",0,1,0,0.0000
"Light Maze",1,2,0,0.5000
"Asmodee Digital;Horrible Games",0,1,0,0.0000
"Mistaken Visions",0,1,0,0.0000
"Florian Richter, Tobias Offermanns, Devendra Pohly",0,1,0,0.0000
"Lost Tower Games",0,1,0,0.0000
"PlayTech Studio",0,1,0,0.0000
"Diantong Intelligence Tech. Shanghai Co.,Ltd.",0,1,0,0.0000
"Zerstoren Games",0,1,0,0.0000
"ONEVISION GAMES",1,2,0,0.5000
Warz,0,1,0,0.0000
"Nicholas Turner",0,1,0,0.0000
"Carlos Coronado",0,1,0,0.0000
"The Hidden Levels",0,2,0,0.0000
"Cosmic Pictures",0,1,0,0.0000
"Boogygames Studios ",0,1,0,0.0000
Sciman101,0,1,0,0.0000
"Ryan Bissonnette",0,2,0,0.0000
"MKD games",0,1,0,0.0000
"Promethean Interactive",0,1,0,0.0000
"VRemedy Labs",0,1,0,0.0000
"KABloom Interactive",0,1,0,0.0000
"Witch Laboratory",0,1,0,0.0000
"David Schneider",0,2,0,0.0000
"Octopirate Games",0,1,0,0.0000
"Zen GM Games",0,1,0,0.0000
carla51,0,1,0,0.0000
"Polarity Bear",0,1,0,0.0000
"Le Faucheur Kevin",0,1,0,0.0000
"Gotham City Films, LLC",0,1,0,0.0000
"Ramos Entertainment",0,1,0,0.0000
Aoineko,0,1,0,0.0000
"Neobite Games",0,2,0,0.0000
"GoldFire Studios",0,2,0,0.0000
"Criptomedia Studios",0,1,0,0.0000
"Jake Peng",0,2,0,0.0000
"Little Angel",0,1,0,0.0000
"Totally Normal Creature",0,1,0,0.0000
"Kormishenkov Anton",1,2,0,0.5000
"Strategy Empire",0,1,0,0.0000
"Duck INC",0,1,0,0.0000
"Helium9 Games",0,1,0,0.0000
"Polar Night Games",0,1,0,0.0000
"BARS STUDIOS",0,1,0,0.0000
CHENJINDING,0,1,0,0.0000
Catze,0,1,0,0.0000
a.mighty.dish,0,1,0,0.0000
Browith,0,1,0,0.0000
CatSaw,0,1,0,0.0000
IMLBE,0,1,0,0.0000
Lospi,0,2,0,0.0000
"TAS Systems",0,3,0,0.0000
"Headshot Labs",0,1,0,0.0000
CounterParry,0,1,0,0.0000
"Kando Corp",0,1,0,0.0000
Jester,0,1,0,0.0000
MadHoundGames,0,1,0,0.0000
"90E GAMES",0,1,0,0.0000
"Rynder Games",0,1,0,0.0000
"VTree LLC",0,2,0,0.0000
